,,,,,
Inf,Rec,Club,División,Juega en,Nombre
Seg,- - -,Levante,Segunda División española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Seg,- - -,Leganés,Segunda División española,ESP,- -
Seg,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Eibar,Segunda División española,ESP,- -
Int,- - -,Getafe,Primera División española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
Seg,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
Les,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Girona,Primera División española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Oviedo,Segunda División española,ESP,- -
Les,- - -,F.C. Andorra,Segunda División española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
Juv,- - -,Girona,Primera División española,ESP,- -
,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
Juv,- - -,Villarreal,Primera División española,ESP,- -
Juv,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Ced,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
Les,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
Ret,- - -,Ferrol,Segunda División española,ESP,- -
Seg,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Eldense,Segunda División española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Burgos,Segunda División española,ESP,- -
Fic,- - -,Vigo B,Primera División Federación A española,ESP,- -
Juv,- - -,Alavés,Primera División española,ESP,- -
Juv,- - -,Burgos,Segunda División española,ESP,- -
Juv,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
Les,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Vigo B,Primera División Federación A española,ESP,- -
Juv,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
Seg,- - -,Huelva,Primera División Federación B española,ESP,- -
Ctr,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Vigo,Primera División española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Vigo,Primera División española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
Juv,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
Juv,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Vigo B,Primera División Federación A española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
Juv,- - -,Villarreal,Primera División española,ESP,- -
Seg,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Granada,Primera División española,ESP,- -
Juv,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Villarreal B,Segunda División española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Villarreal B,Segunda División española,ESP,- -
,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
Ctr,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Levante,Segunda División española,ESP,- -
Ret,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
Juv,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Ibiza,Primera División Federación B española,ESP,- -
Seg,- - -,Marbella,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Tarazona,Primera División Federación A española,ESP,- -
Seg,- - -,Alavés B,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Tarragona,Primera División Federación A española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Eibar,Segunda División española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
Juv,- - -,Coruña,Primera División Federación A española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
Juv,- - -,Oviedo,Segunda División española,ESP,- -
Juv,- - -,Elche,Segunda División española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Intercity,Primera División Federación B española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Granada,Primera División española,ESP,- -
Juv,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sta. Eulalia,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
Ced,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Tenerife,Segunda División española,ESP,- -
Seg,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
Les,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
Int,- - -,Eldense,Segunda División española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Ourense C.F.,Segunda División Federación Grupo 1 española,ESP,- -
Ret,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
Les,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
Les,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
Les,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Leganés,Segunda División española,ESP,- -
Seg,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Ceuta,Primera División Federación B española,ESP,- -
Juv,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,A. Baleares,Primera División Federación B española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Seg,- - -,Cartagena,Segunda División española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Linares,Primera División Federación B española,ESP,- -
Seg,- - -,Tenerife,Segunda División española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
Ofer,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
Les,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,S. Gijón,Segunda División española,ESP,- -
Des,- - -,Getafe,Primera División española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Girona,Primera División española,ESP,- -
Juv,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
Juv,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Levante,Segunda División española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
Juv,- - -,Córdoba,Primera División Federación B española,ESP,- -
Juv,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
Trn,- - -,Granada,Primera División española,ESP,- -
Seg,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
Int,- - -,Valencia,Primera División española,ESP,- -
Ced,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Huelva,Primera División Federación B española,ESP,- -
,- - -,Oviedo B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
Les,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
Seg,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
Juv,- - -,Villarreal,Primera División española,ESP,- -
Opc,- - -,San Fernando,Primera División Federación B española,ESP,- -
Seg,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Leganés,Segunda División española,ESP,- -
,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
Juv,- - -,Sestao,Primera División Federación A española,ESP,- -
Seg,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Albacete,Segunda División española,ESP,- -
Seg,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Sestao,Primera División Federación A española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
Ret,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
Int,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
Les,- - -,Leganés,Segunda División española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
Ret,- - -,Eibar,Segunda División española,ESP,- -
,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Juv,- - -,Vigo,Primera División española,ESP,- -
,- - -,Cartagena,Segunda División española,ESP,- -
Int,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
