,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Gol,xG,Cab Int,Cab,DsR,Rec,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
- - -,Int,Guido Rodríguez,"MC, ME (C)",40 (1),3.024,1.883,1.688,158,37,6,"4,51",10,21,327,103,"441,3 km","12,38",103,79,1,41,32,7,0,43,28,"14,23","5,12",0,"3,06",156,76,12,17,16,3,16,3
- - -,,Iñaki Williams,"ME (DI), MP (DIC), DL (C)",29,2.485,789,668,50,32,5,"4,21",3,57,271,67,"347,2 km","11,19",65,58,0,37,62,1,0,35,13,"3,55","13,04",8,"7,01",185,81,0,2,44,4,44,4
- - -,Int,Alejandro Balde,DF/CR/ME/MP (I),42 (1),3.657,2.219,1.949,315,40,2,"2,38",9,118,399,117,"515,3 km","15,36",162,136,8,46,65,2,1,116,40,"12,23","14,42",3,"3,4",131,54,11,31,50,9,50,9
- - -,Seg,Ferland Mendy,DF/CR (I),33 (9),3.176,2.024,1.744,203,22,3,"2,71",6,61,307,104,"448,3 km","14,76",131,107,3,38,32,5,0,79,21,"12,81","14,4",1,"0,48",172,117,21,12,71,16,71,16
- - -,,Kieran Tierney,"DF (IC), CR (I)",36,2.926,1.851,1.649,196,32,3,"3,9",8,53,295,82,"416,4 km","16,03",118,89,5,38,45,7,0,86,38,"14,06","10,89",2,"0,5",137,87,24,23,63,11,63,11
- - -,Int,João Félix,"MP (DIC), DL (C)",16 (26),1.538,503,439,45,23,4,"3,37",4,48,181,50,"209,4 km","11,64",40,34,0,29,32,5,0,19,10,"4,68","14,75",3,"4,81",92,26,0,3,31,3,31,3
- - -,Seg,Toni Kroos,"MC, ME (C)",1 (36),789,466,414,48,20,0,"1,55",1,6,91,24,"108,3 km","11,75",21,19,0,10,4,2,0,6,1,"11,52","6,05",1,"0,21",22,7,0,1,268,49,6,0
- - -,Int,Nahuel Molina,DF/CR/ME (D),43 (1),3.480,1.725,1.480,148,55,4,"2,56",5,96,482,133,"512,3 km","17,51",149,120,1,63,40,5,1,130,32,"11,95","16,5",0,"1,3",129,71,23,19,249,31,249,31
- - -,,Aurélien Tchouameni,"MC, ME (C)",10 (28),1.355,844,773,82,16,1,"1,75",6,13,156,37,"191,9 km","12,75",37,25,0,19,11,2,0,19,8,"16,74","6,84",2,"1,5",70,41,3,5,9,4,9,4
- - -,Int,Memphis Depay,"ME (I), MP (IC), DL (C)",9 (19),1.041,242,212,8,6,0,"0,33",1,18,84,13,"139,7 km",7,13,10,1,6,47,0,0,10,5,"1,3","19,02",7,"6,33",77,9,0,2,6,1,6,1
- - -,,Gavi,"ME (C), MP (IC)",18 (25),1.960,1.141,1.030,78,27,1,"4,61",5,31,228,67,"283,6 km","13,55",61,53,1,28,16,7,0,30,12,"13,87","11,94",9,"2,86",55,19,0,5,33,7,21,6
- - -,,Nacho,DF (DIC),45 (1),4.079,3.033,2.814,247,34,5,"4,13",10,25,245,96,"555,4 km","10,55",123,100,16,33,22,4,0,101,38,"13,15","11,98",0,"1,27",213,138,20,28,45,9,45,9
- - -,Ret,Sergio Ramos,DF (C),32 (1),2.702,2.098,1.981,111,21,5,"2,09",5,7,95,38,"354,1 km","6,43",48,33,11,28,13,14,0,51,30,"18,29","2,23",0,"3,4",193,140,18,16,7,1,7,1
- - -,Int,Lucas Ocampos,"ME/MP (DI), DL (C)",39 (2),3.096,803,683,33,29,2,"2,17",2,44,260,69,"416,0 km","7,76",65,49,0,37,101,1,0,29,9,"2,03","15,58",16,"14,3",212,85,0,4,18,4,18,4
- - -,Int,Unai Simón,POR,35,3.035,978,861,0,4,0,0,0,0,0,0,"216,2 km",0,2,1,0,0,18,0,0,0,-,"4,42","4,98",0,0,-,-,-,-,-,-,-,-
- - -,Int,Juan Foyth,"DF (DC), MC",41 (1),3.486,2.421,2.214,292,33,0,"3,03",5,74,312,94,"485,6 km","13,58",132,109,5,47,52,6,2,94,38,"13,92","12,57",1,"2,6",233,151,21,24,51,6,51,6
- - -,Int,José Giménez,DF (C),35,2.714,2.101,1.970,122,9,0,"1,05",3,4,88,36,"350,6 km","6,17",49,37,12,24,6,7,0,60,24,"16,65","3,45",1,"1,62",206,150,23,13,10,0,10,0
- - -,,Brahim Díaz,"ME (C), MP (DC)",47,3.114,1.245,1.059,70,50,12,"8,46",17,75,393,76,"467,0 km","13,27",60,50,0,18,26,2,0,71,24,"12,49","18,44",5,"8,57",137,22,0,10,19,2,19,2
- - -,,Marcos Llorente,"CR (D), MC, ME (DC), MP (C)",39 (2),3.118,1.897,1.713,154,33,2,"3,35",6,25,357,97,"460,0 km","13,71",96,82,5,62,22,10,2,70,26,"13,13","8,49",2,"2,6",92,56,1,15,41,3,41,3
- - -,Seg,Brais Méndez,"ME (C), MP (DC)",40 (1),3.298,1.576,1.330,126,113,8,"5,24",15,84,503,146,"451,8 km","15,64",137,114,2,37,47,0,0,56,20,"5,92","16,89",7,"11,21",139,51,0,5,221,44,107,21
- - -,Seg,Artem Dovbyk,DL (C),37 (1),3.250,744,659,23,21,3,"3,69",4,29,264,54,"426,4 km","7,23",56,45,0,43,77,2,0,28,9,"2,44","18,3",16,"14,91",337,196,0,1,20,3,20,3
- - -,Seg,Robin Le Normand,DF (C),40,3.321,2.561,2.409,150,11,2,"0,67",2,5,100,38,"431,2 km","6,26",51,42,13,16,15,1,0,84,35,"16,31","2,33",1,"0,61",254,183,32,18,7,0,7,0
- - -,Ofer,Yeremy Pino,"ME (D), MP (DIC), DL (C)",39,2.954,1.325,1.079,164,39,9,"11,09",14,120,412,105,"423,2 km","15,9",96,75,0,43,53,1,0,67,25,"5,58","11,61",0,"5,44",114,26,0,9,70,9,65,8
- - -,Seg,Martín Zubimendi,"MC, ME (C)",36 (1),2.704,1.578,1.415,112,42,2,"2,6",7,17,339,86,"381,0 km","12,22",82,62,4,30,28,5,1,46,22,"14,15","8,45",1,"2,31",114,54,0,9,27,4,27,4
- - -,Les,Marcos Acuña,DF/CR/ME (I),36,2.907,1.647,1.412,166,58,5,"5,07",11,62,425,99,"409,4 km","17,12",116,97,4,45,36,9,0,95,33,"12,94","11,98",0,"0,68",92,28,12,24,429,79,213,37
- - -,Ret,Iago Aspas,"MP (DC), DL (C)",37,2.384,885,750,62,84,7,"5,21",6,39,293,63,"347,1 km","11,55",53,42,0,34,31,3,0,49,13,"11,02","17,48",2,"6,26",121,22,0,12,50,4,21,2
- - -,,Youssef En-Nesyri,DL (C),29,2.379,585,488,19,17,6,"2,25",1,32,187,34,"310,1 km","6,58",29,19,0,32,68,1,0,31,9,"2,12","15,96",10,"8,63",198,93,0,6,11,2,11,2
- - -,Seg,Isco,ME/MP (DIC),42,2.931,1.366,1.202,97,51,8,"9,22",17,59,366,80,"398,8 km","11,94",66,53,2,32,36,1,0,56,22,"10,19","14,16",7,"5,9",89,24,0,17,224,35,32,5
- - -,Les,Yan Couto,DF/CR/ME/MP (D),31,2.707,1.702,1.567,225,21,4,"3,38",6,59,276,74,"387,1 km","14,93",115,102,6,28,48,2,0,85,36,"12,27","10,57",3,"2,27",112,49,16,18,52,7,40,5
- - -,,Thomas Lemar,"CR (I), ME/MP (IC)",29 (13),2.226,1.303,1.116,146,121,4,"2,57",8,69,321,87,"323,7 km","15,57",88,76,3,28,36,0,0,58,15,"10,07","15,4",0,"0,94",59,11,3,8,340,64,107,16
- - -,Les,Nabil Fekir,"MP (DIC), DL (C)",12,717,182,144,7,12,0,"1,2",1,9,53,8,"84,1 km","4,52",8,8,0,13,18,0,0,4,2,"2,26","13,81",1,"3,12",58,17,0,0,72,7,6,1
- - -,,Álex Baena,"ME (C), MP (DIC), DL (C)",33,2.618,671,563,34,30,2,"2,73",6,29,209,49,"343,6 km","6,43",51,34,0,50,83,3,1,25,10,"2,44","14,92",16,"8,43",198,43,0,3,13,4,13,4
- - -,,Dani Ceballos,ME/MP (C),2 (19),543,259,221,22,8,2,"0,78",3,8,71,14,"79,1 km","12,43",13,13,0,6,4,1,0,6,4,"12,6","10,77",0,"1,07",18,3,0,1,5,0,5,0
- - -,,Axel Witsel,"DF (C), MC, ME (C)",38 (6),3.161,2.207,2.022,168,25,6,"4,16",5,9,198,70,"414,1 km","7,32",80,65,9,41,13,6,2,52,34,"15,15","4,21",0,"2,49",157,95,9,8,16,4,16,4
- - -,Seg,Ángel Correa,"ME (D), MP (DIC), DL (C)",13 (7),1.034,264,231,12,10,1,"1,3",1,15,86,21,"139,0 km","6,62",16,14,0,13,26,3,0,8,2,"1,74","19,93",7,"7,05",79,19,0,1,9,3,9,3
- - -,,Andriy Lunin,POR,43 (1),3.831,1.398,1.234,0,0,0,0,0,0,0,0,"275,9 km",0,5,2,0,0,11,0,1,0,-,"3,64","10,01",0,0,-,-,-,-,-,-,-,-
- - -,,Eric García,"DF (C), MC",37,3.330,2.572,2.409,164,10,2,"1,56",2,5,122,49,"419,5 km","5,89",65,51,15,22,15,4,0,75,34,"16,89","2,43",2,"1,15",209,139,25,18,6,0,6,0
- - -,,Mouctar Diakhaby,"DF (C), MC",35,3.114,2.416,2.251,183,8,1,"1,38",2,12,106,42,"402,5 km","6,79",52,41,8,22,14,7,0,74,27,"16,76","2,17",0,"1,47",239,167,26,16,9,3,9,3
- - -,Trn,Sergi Roberto,"DF/CR (D), MC, ME (DC)",47,4.028,2.751,2.409,357,48,7,"5,25",8,64,414,119,"579,2 km","13,85",161,136,6,48,41,6,1,89,38,"10,93","16,62",0,"1,51",164,62,12,18,74,12,74,12
- - -,Les,Stefan Savić,DF (C),14 (5),1.291,981,920,56,2,0,"0,26",0,1,52,18,"157,5 km","4,88",21,19,3,11,1,4,0,27,12,"13,73","4,6",0,"0,46",86,49,13,6,3,2,3,2
- - -,,Reinildo,"DF (IC), CR (I)",4 (3),489,378,352,27,0,0,"0,29",0,1,16,4,"61,9 km","5,71",6,6,0,6,3,0,0,7,9,"13,25","2,76",0,"0,15",30,15,5,2,0,0,0,0
- - -,Int,Alexander Sørloth,DL (C),24 (18),2.389,590,501,22,20,1,"1,36",4,19,180,34,"307,9 km","6,33",35,28,2,41,51,2,1,29,9,"1,62","16,46",18,"14,04",194,104,0,3,6,3,6,3
- - -,,Daley Blind,"DF (IC), CR (I), MC",34 (3),2.744,1.744,1.596,163,31,11,"8,13",12,23,287,84,"393,5 km","12,14",91,71,3,42,23,5,0,49,24,"13,71","6,82",0,"0,61",121,71,15,21,14,3,14,3
- - -,,Ez Abde,"ME/MP (DI), DL (C)",37 (7),2.759,1.007,849,76,37,4,"3,3",5,94,362,105,"367,5 km","12,72",92,79,2,40,46,4,0,60,31,"3,85","17,29",6,"8,04",102,23,0,9,78,10,78,10
- - -,,Raúl Albiol,DF (C),42,3.493,2.600,2.431,156,10,4,"2,6",7,4,109,42,"431,4 km","5,72",57,45,9,25,6,5,1,78,31,"16,13","3,35",0,"1,25",252,179,46,15,8,1,8,1
- - -,,Giorgi Mamardashvili,POR,35,3.147,1.116,1.017,0,0,0,0,0,0,0,0,"214,5 km",0,4,2,0,0,26,0,0,0,-,"4,46","4,69",0,0,-,-,-,-,-,-,-,-
- - -,Int,Nemanja Maksimović,"MC, ME (DC)",37,3.015,1.697,1.493,119,40,7,"9,66",18,42,354,122,"414,4 km","12,3",109,80,2,55,24,5,0,37,10,"13,43","12,15",4,"3,04",130,56,0,13,32,6,32,6
- - -,,Sávio,"MP (DI), DL (C)",32,2.425,836,715,75,52,3,"4,28",9,91,333,106,"317,1 km","12,51",82,68,2,24,49,2,0,37,15,"4,05","16,11",8,"5,71",106,16,0,9,80,12,75,11
- - -,Seg,Takefusa Kubo,"ME/MP (DC), DL (C)",17 (16),1.666,865,788,78,24,0,"5,23",4,44,211,54,"233,9 km","11,45",39,29,3,12,10,2,0,31,11,"11,45","10,32",4,"4,02",51,16,0,5,60,6,15,1
- - -,Int,Kepa Arrizabalaga,POR,5 (1),480,177,120,0,0,0,0,0,0,0,0,"33,8 km",0,0,-,0,0,1,0,0,0,-,"4,31","7,5",0,0,-,-,-,-,-,-,-,-
- - -,Int,Dani Vivian,"DF (C), MC",36,3.158,2.354,2.199,127,12,3,"1,59",1,10,130,39,"401,9 km","5,81",56,46,8,18,21,6,0,68,34,"15,73","2,02",1,"2,93",159,109,32,19,6,2,6,2
- - -,Les,Martin Braithwaite,"MP (DIC), DL (C)",35 (1),2.755,684,585,23,20,4,"4,5",4,32,225,66,"357,3 km","6,44",63,48,0,40,55,1,0,26,5,"2,74","15,32",14,"18,8",213,43,0,2,15,1,15,1
- - -,Ofer,Germán Pezzella,DF (C),24,2.114,1.399,1.255,112,6,0,"0,19",0,1,74,35,"264,0 km","5,79",42,35,8,18,9,6,0,44,18,"14,18","4,34",1,"0,47",173,133,24,9,5,0,5,0
- - -,,Éric Bailly,DF (C),10 (5),941,633,577,47,4,1,"0,54",0,3,36,18,"117,2 km","4,5",22,18,4,13,3,3,0,17,10,"13,58","3,44",1,"0,47",68,51,9,1,2,0,2,0
- - -,Seg,Jonathan Bamba,"MP (DI), DL (C)",32 (1),2.767,1.072,907,79,31,1,"3,22",7,91,409,97,"396,7 km","15,58",77,60,0,51,40,1,0,51,13,"3,81","19,58",9,"4,86",133,32,0,8,87,18,87,18
- - -,Int,Yangel Herrera,"MC, ME (C)",28 (1),2.380,1.227,1.097,99,33,4,"2,55",2,21,300,61,"328,2 km","11,91",49,36,1,37,17,6,1,47,16,"12,03","11,23",5,"3,15",64,42,0,9,17,5,17,5
- - -,Int,Nemanja Gudelj,"DF (C), MC, ME (C)",38,3.064,2.112,1.940,165,31,1,"4,16",8,12,255,76,"431,3 km","10,08",80,70,13,48,18,6,0,64,33,"12,1","5,87",1,"2,4",129,79,13,16,8,2,8,2
- - -,,Lucas Vázquez,DF/CR/ME/MP (D),3 (3),439,274,259,35,2,0,0,0,5,36,12,"68,1 km","16,2",13,11,1,8,5,1,0,9,5,"13,12","18,66",0,"0,15",20,8,2,3,9,1,9,1
- - -,Seg,Marcos Alonso,"DF (IC), CR/ME (I)",6 (9),736,408,371,55,8,0,"0,41",0,12,63,26,"101,4 km","14,43",34,27,1,14,6,0,0,23,4,"11,13","17,24",2,"0,34",25,15,2,2,58,11,17,4
- - -,Ret,Joselu,DL (C),11 (30),1.406,357,296,10,11,1,"1,06",2,9,128,22,"180,7 km","6,66",23,18,0,15,16,2,0,12,2,"1,47","23,75",7,"7,03",127,53,0,2,13,3,13,3
- - -,Int,André Silva,DL (C),27 (5),2.375,551,471,12,6,1,"2,95",6,29,187,41,"304,7 km","6,63",40,28,0,36,58,2,0,26,9,"2,16","20,31",13,"8,46",201,79,0,6,9,1,9,1
- - -,,Raúl De Tomás,"MP (C), DL (C)",38,2.736,652,573,25,24,1,"1,35",3,50,214,41,"348,6 km","5,76",42,35,0,35,79,7,0,39,12,"1,58","21,45",9,"11,91",197,56,0,6,5,0,5,0
- - -,Int,Íñigo Martínez,DF (C),1 (1),58,46,44,2,0,0,0,0,0,3,2,"6,5 km",-,3,3,1,0,0,0,0,0,1,-,-,0,0,4,2,2,0,0,0,0,0
- - -,,Francis Coquelin,"MC, ME (DC)",31 (1),2.368,1.234,1.067,73,19,1,"1,36",6,25,292,66,"333,6 km","12,96",60,41,0,36,9,1,0,53,11,"12,62","12,58",1,"1,37",83,39,0,9,18,3,18,3
- - -,Ofer,Vedat Muriqi,DL (C),29,2.459,654,556,25,18,2,"3,05",4,24,195,48,"326,8 km","7,1",50,29,0,25,72,2,0,21,11,"2,09","20,02",7,"13,78",247,124,0,4,9,2,9,2
- - -,,Denis Suárez,ME/MP (IC),6 (9),651,257,215,25,12,3,"3,55",3,11,13,34,"79,3 km","14,24",26,22,0,4,9,0,0,10,6,"8,57","11,47",0,"0,16",29,11,0,0,18,3,18,3
- - -,,Johan Mojica,DF/CR/ME (I),34 (1),2.948,1.785,1.555,242,28,0,"1,93",1,79,303,70,"434,2 km","15,69",104,80,5,50,41,5,0,87,34,"10,75","14,87",0,"0,31",126,83,10,25,61,10,41,8
- - -,,Mario Hermoso,DF (IC),44 (1),3.912,2.957,2.690,174,10,3,"1,78",2,11,112,43,"501,3 km","5,73",62,52,13,36,18,9,1,88,30,"15,99","3,77",2,"1,05",242,168,32,21,9,0,9,0
- - -,Ofer,César Azpilicueta,"DF (DIC), CR (DI)",7 (21),1.040,592,540,46,10,0,"1,4",2,22,117,31,"149,4 km","14,97",35,29,1,21,15,3,0,19,8,"10,9","12,38",0,"0,02",46,21,9,10,58,5,58,5
- - -,,Iker Muniain,"ME (IC), MP (DIC)",28,2.100,916,807,70,59,1,"3,49",7,56,273,93,"308,1 km","14,19",85,67,2,23,21,0,0,39,19,"7,16","19,67",7,"6,35",93,15,0,9,203,45,45,9
- - -,,Álvaro Odriozola,DF/CR (D),22 (1),1.835,1.233,1.107,134,25,3,"4,4",4,37,192,51,"260,3 km","15,11",75,69,2,21,23,1,0,52,18,"11,82","12,02",1,"1,43",80,36,13,14,31,6,31,6
- - -,,Viktor Tsygankov,ME/MP (DI),16 (11),1.558,638,544,68,52,2,"2,24",3,51,213,67,"209,8 km","13,23",56,47,2,11,22,1,0,28,6,"4,16","16,87",2,"5,51",60,23,0,3,82,10,52,5
- - -,Seg,Óscar Mingueza,"DF (DIC), CR (D)",31,2.634,1.801,1.644,193,19,2,"2,7",7,24,215,63,"354,9 km","12,47",87,66,6,22,24,1,1,88,44,"12,4","9,6",0,"1,77",152,112,26,19,35,2,35,2
- - -,Les,Erik Lamela,"ME (D), MP (DIC), DL (C)",12,963,249,206,7,9,3,"2,77",5,12,74,20,"130,2 km","7,29",20,15,0,16,22,0,0,9,1,"2,34","18,22",4,"4,31",70,22,0,2,5,0,5,0
- - -,,Youssouf Sabaly,DF/CR (D),32 (1),2.548,1.820,1.644,196,25,2,"2,12",3,52,236,67,"370,3 km","15,01",94,72,3,40,32,4,0,70,30,"10,46","18,54",0,"0,72",107,61,15,10,55,11,55,11
- - -,,Yuri,DF/CR (I),29,2.381,1.441,1.291,173,35,1,"1,81",9,28,232,76,"308,3 km","12,93",111,92,6,43,15,9,1,67,21,"11,91","15,5",0,"0,47",151,99,15,19,64,9,57,8
- - -,Seg,Umar Sadiq,DL (C),3 (19),591,138,117,3,3,2,"0,94",2,5,41,8,"71,9 km","5,79",7,6,0,12,18,0,0,4,2,"1,07","18,27",5,"4,22",52,14,0,0,4,1,4,1
- - -,,Aïssa Mandi,DF (DIC),19 (11),1.918,1.377,1.271,124,15,2,"0,43",3,8,104,36,"247,5 km","8,63",58,51,10,28,14,6,0,46,24,"15,25","5,72",0,"0,59",124,83,23,11,12,2,12,2
- - -,Int,Djibril Sow,"MC, ME (C)",34 (4),2.763,1.562,1.358,102,37,5,"6,49",9,45,332,80,"379,1 km","12,31",65,48,2,31,25,2,0,50,16,"10,42","15,96",2,"2,06",93,36,0,15,20,4,20,4
- - -,,Jeremías Ledesma,POR,35,3.143,1.013,677,0,0,0,0,0,0,0,0,"207,6 km",0,2,0,0,0,17,0,0,0,-,"4,21","8,22",0,0,-,-,-,-,-,-,-,-
- - -,Ofer,Héctor Bellerín,DF/CR (D),7 (15),1.101,648,611,75,10,1,"0,8",2,19,99,21,"151,0 km","13,98",32,27,1,10,22,0,0,24,24,"10,54","12,26",0,"0,9",46,23,6,13,12,0,12,0
- - -,Seg,Hamari Traoré,DF/CR (D),22 (4),2.098,1.327,1.221,150,21,4,"2,03",4,40,183,59,"292,4 km","13,51",83,71,4,30,21,5,1,45,18,"9,87","20,2",0,"0,29",93,46,12,13,30,6,30,6
