,,,,,,,,,,,
Inf,Rec,Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
,- - -,- -,30/6/2027,667.000 € p/m,N/D,N/D,Rubén Cornejo,75M € - 114M €,-,-,200M €
Seg,- - -,- -,30/6/2028,167.000 € p/m,N/D,N/D,Ernesto Cabrera,55M € - 84M €,-,-,60M €
Seg,- - -,- -,30/6/2028,143.000 € p/m,N/D,N/D,Oleksiy Shevchenko,44M € - 67M €,-,-,61M €
Seg,- - -,- -,30/6/2028,223.000 € p/m,N/D,N/D,Rubén Cornejo,43M € - 65M €,-,-,64M €
Ofer,- - -,- -,30/6/2027,120.000 € p/m,N/D,N/D,Javi Barbero,64M € - 96M €,-,-,80M €
Seg,- - -,- -,30/6/2027,184.000 € p/m,N/D,N/D,Jairo Olivera,60M € - 72M €,-,-,60M €
Les,- - -,- -,30/6/2025,131.000 € p/m,N/D,N/D,Lucio Gutiérrez,24M € - 29M €,-,-,"35,5M €"
Ret,- - -,- -,30/6/2025,216.000 € p/m,N/D,N/D,Iago Menéndez,50m € - 500m €,-,-,50M €
,- - -,- -,30/6/2028,315.000 € p/m,N/D,N/D,Omar Seddiki,64M € - 98M €,-,-,105M €
Seg,- - -,- -,30/6/2027,176.000 € p/m,N/D,N/D,Fernando Nadal,35M €,-,-,64M €
Les,- - -,- -,30/6/2027,389.000 € p/m,N/D,N/D,Luís Gustavo Cavassani,94M € - 113M €,-,-,-
,- - -,- -,30/6/2027,540.000 € p/m,N/D,N/D,Iago Menéndez,39M € - 47M €,-,-,190M €
Les,- - -,- -,30/6/2026,534.000 € p/m,N/D,N/D,Rubén Cornejo,31M €,-,-,100M €
,- - -,- -,30/6/2028,190.000 € p/m,N/D,N/D,Javi Barbero,99M € - 119M €,-,-,102M €
,- - -,- -,30/6/2025,361.000 € p/m,N/D,N/D,-,"550m € - 4,9M €",-,-,72M €
,- - -,- -,30/6/2027,864.000 € p/m,N/D,N/D,María Mosquera,26M € - 40M €,-,-,500M €
Seg,- - -,- -,30/6/2026,417.000 € p/m,N/D,N/D,Ernesto Cabrera,28M € - 34M €,-,-,110M €
,- - -,- -,30/6/2027,274.000 € p/m,N/D,N/D,Ignacio Tinoco,41M € - 49M €,-,-,70M €
,- - -,- -,30/6/2026,250.000 € p/m,N/D,N/D,Andy Parrott,23M € - 29M €,-,-,400M €
,- - -,- -,30/6/2027,66.500 € p/m,N/D,N/D,María Mosquera,36M € - 45M €,-,-,100M €
Trn,- - -,- -,30/6/2025,374.000 € p/m,N/D,N/D,Fernando Nadal,"8,2M €",-,-,400M €
Les,- - -,- -,30/6/2026,242.000 € p/m,N/D,N/D,Rubén Cornejo,"4,7M € - 6M €",-,-,"21,5M €"
Int,- - -,- -,30/6/2028,568.000 € p/m,N/D,N/D,Bastian Lenz,35M € - 53M €,-,-,44M €
,- - -,- -,30/6/2025,160.000 € p/m,N/D,N/D,Nathan Boyer,21M € - 27M €,-,-,92M €
,- - -,- -,30/6/2025,170.000 € p/m,N/D,N/D,Maximilian Bierofka,"200m € - 8,2M €",-,-,40M €
,- - -,- -,30/6/2028,94.500 € p/m,N/D,N/D,Xavi Aguirre,48M € - 73M €,-,-,85M €
,- - -,- -,30/6/2025,121.000 € p/m,N/D,N/D,Álvaro Trigo,"375m € - 3,9M €",-,-,35M €
,- - -,- -,30/6/2029,154.000 € p/m,N/D,N/D,Nodar Koridze,35M € - 54M €,-,-,97M €
Int,- - -,- -,30/6/2028,137.000 € p/m,N/D,N/D,Fernando Nadal,20M € - 31M €,-,-,31M €
,- - -,- -,30/6/2027,149.000 € p/m,N/D,N/D,Raul Beltrami Teixeira,60M € - 91M €,-,-,-
Seg,- - -,- -,30/6/2027,182.000 € p/m,N/D,N/D,María Mosquera,35M € - 53M €,-,-,88M €
Int,- - -,- -,30/6/2025,859.000 € p/m,N/D,N/D,Rubén Cornejo,"11,5M € - 17,5M €",-,-,-
Int,- - -,- -,30/6/2028,249.000 € p/m,N/D,N/D,Jairo Olivera,58M € - 89M €,-,-,63M €
Les,- - -,- -,30/6/2024,105.000 € p/m,N/D,N/D,Marc Montalbán,160m € - 475m €,-,-,"30,5M €"
Ofer,- - -,- -,30/6/2025,185.000 € p/m,N/D,N/D,Federico Zampaglione,"450m € - 4,5M €",-,-,"41,5M €"
,- - -,- -,30/6/2025,97.000 € p/m,N/D,N/D,Berke Şahin,"6,6M € - 10M €",-,-,"28,5M €"
Seg,- - -,- -,30/6/2026,89.500 € p/m,N/D,N/D,Jonathan Pierron,34M € - 41M €,-,-,"33,5M €"
Int,- - -,- -,30/6/2027,108.000 € p/m,N/D,N/D,Jermaine Dawson,27M € - 41M €,-,-,"41,5M €"
Int,- - -,- -,30/6/2026,441.000 € p/m,N/D,N/D,Álvaro Trigo,No a la venta,-,-,"30,5M €"
,- - -,- -,30/6/2024,773.000 € p/m,N/D,N/D,Jairo Olivera,0 € - 85m €,-,-,500M €
Seg,- - -,- -,30/6/2024,505.000 € p/m,N/D,N/D,Will Law,0€,-,-,50M €
Ret,- - -,- -,30/6/2025,242.000 € p/m,N/D,N/D,-,"275m € - 2,8M €",-,-,45M €
,- - -,- -,30/6/2027,267.000 € p/m,N/D,N/D,María Mosquera,27M € - 33M €,-,-,47M €
Int,- - -,- -,30/6/2026,582.000 € p/m,N/D,N/D,Maximilian Bierofka,"17,5M € - 27M €",-,-,-
Int,- - -,- -,30/6/2025,748.000 € p/m,N/D,N/D,Javi Barbero,"800m € - 7,8M €",-,-,400M €
,- - -,- -,30/6/2026,212.000 € p/m,N/D,N/D,Ludovic Salmon,No a la venta,-,-,39M €
Ofer,- - -,- -,30/6/2027,333.000 € p/m,N/D,N/D,Claudio Fiorucci,22M € - 28M €,-,-,"33,5M €"
,- - -,- -,30/6/2026,146.000 € p/m,N/D,N/D,Fernando Nadal,"12,5M € - 16,5M €",-,-,51M €
,- - -,- -,30/6/2026,81.500 € p/m,N/D,N/D,Iago Menéndez,"6,6M € - 10,5M €",-,-,22M €
,- - -,- -,30/6/2027,715.000 € p/m,N/D,N/D,María Mosquera,"18,5M € - 30M €",-,-,"46,5M €"
Ofer,- - -,- -,30/6/2026,242.000 € p/m,N/D,N/D,Jermaine Dawson,95m € - 950m €,-,-,"4,6M €"
,- - -,- -,30/6/2026,128.000 € p/m,N/D,N/D,María Mosquera,No a la venta,-,-,"27,5M €"
,- - -,- -,30/6/2029,94.000 € p/m,N/D,N/D,María Mosquera,20M € - 32M €,-,-,27M €
,- - -,- -,30/6/2027,167.000 € p/m,N/D,N/D,Eduard Kovtun,26M € - 41M €,-,-,"31,5M €"
Seg,- - -,- -,30/6/2026,94.500 € p/m,N/D,N/D,Jairo Olivera,22M € - 27M €,-,-,22M €
Les,- - -,- -,30/6/2024,260.000 € p/m,N/D,N/D,Daniel Wilkins,110m €,-,-,45M €
,- - -,- -,30/6/2026,89.500 € p/m,N/D,N/D,Flavien Cazaux,"5,8M € - 9,2M €",-,-,"28,5M €"
,- - -,- -,30/6/2025,151.000 € p/m,N/D,N/D,María Mosquera,"3,8M € - 6M €",-,-,"7,25M €"
Seg,- - -,- -,30/6/2028,116.000 € p/m,N/D,N/D,Fernando Nadal,"17,5M € - 21M €",-,-,100M €
Int,- - -,- -,30/6/2028,93.500 € p/m,N/D,N/D,Bastian Lenz,28M € - 35M €,-,-,28M €
,- - -,- -,30/6/2025,97.000 € p/m,N/D,N/D,Iago Menéndez,"9,8M € - 15,5M €",-,-,27M €
,- - -,- -,30/6/2026,75.000 € p/m,N/D,N/D,Nahuel Barros,No a la venta,-,-,30M €
Ofer,- - -,- -,30/6/2028,102.000 € p/m,N/D,N/D,Fernando Nadal,"13,5M € - 21M €",-,-,"31,5M €"
Seg,- - -,- -,30/6/2025,79.000 € p/m,N/D,N/D,Ludovic Salmon,"600m € - 5,8M €",-,-,"20,5M €"
Seg,- - -,- -,30/6/2025,122.000 € p/m,N/D,N/D,María Mosquera,"4,3M €",-,-,"40,5M €"
,- - -,- -,30/6/2025,94.500 € p/m,N/D,N/D,Rubén Cornejo,12M € - 15M €,-,-,"22,5M €"
Fic,- - -,- -,30/6/2028,404.000 € p/m,N/D,N/D,Matt Atkinson,34M €,-,-,-
Seg,- - -,- -,30/6/2025,109.000 € p/m,N/D,N/D,Berke Şahin,"400m € - 3,9M €",-,-,20M €
,- - -,- -,30/6/2026,213.000 € p/m,N/D,N/D,Santiago Berrocal,"550m € - 1,7M €",-,-,"14,25M €"
,- - -,- -,30/6/2026,131.000 € p/m,N/D,N/D,Rubén Cornejo,No a la venta,-,-,23M €
Seg,- - -,- -,30/6/2027,143.000 € p/m,N/D,N/D,Ernesto Cabrera,27M € - 35M €,-,-,35M €
,- - -,- -,30/6/2026,105.000 € p/m,N/D,N/D,Rubén Cornejo,"6,8M € - 8,8M €",-,-,22M €
,- - -,- -,30/6/2027,184.000 € p/m,N/D,N/D,Rubén Cornejo,54M € - 86M €,-,-,70M €
Seg,- - -,- -,30/6/2026,46.500 € p/m,N/D,N/D,Juan Amaro,21M € - 27M €,-,-,"27,5M €"
Int,- - -,- -,30/6/2026,19.500 € p/m,N/D,N/D,Cem Smits,7M € - 9M €,-,-,"20,5M €"
Int,- - -,- -,30/6/2026,124.000 € p/m,N/D,N/D,Fernando Nadal,"15M € - 19,5M €",-,-,"23,5M €"
,- - -,- -,30/6/2026,997.000 € p/m,N/D,N/D,Rubén Cornejo,17M € - 27M €,-,-,150M €
Int,- - -,- -,30/6/2028,125.000 € p/m,N/D,N/D,Maximilian Bierofka,18M € - 22M €,-,-,23M €
,- - -,- -,30/6/2030,141.000 € p/m,N/D,N/D,Álvaro Trigo,46M € - 73M €,-,-,75M €
,- - -,- -,30/6/2026,141.000 € p/m,N/D,N/D,Jairo Olivera,48M € - 77M €,-,-,60M €
Opc,- - -,- -,30/6/2024,84.500 € p/m,N/D,N/D,Ignacio Figueroa,18m € - 170m €,-,-,21M €
Trn,- - -,- -,30/6/2024,111.000 € p/m,N/D,N/D,Ludovic Salmon,3m €,-,-,22M €
,- - -,- -,30/6/2025,43.500 € p/m,N/D,N/D,Fernando Nadal,"650m € - 6,4M €",-,-,"7,5M €"
,- - -,- -,30/6/2026,79.000 € p/m,N/D,N/D,Rubén Cornejo,"11,5M € - 14,5M €",-,-,"26,5M €"
,- - -,- -,30/6/2032,165.000 € p/m,N/D,N/D,Marc Montalbán,54M € - 86M €,-,-,80M €
,- - -,- -,30/6/2027,73.500 € p/m,N/D,N/D,Dalibor Budimir,No a la venta,-,-,20M €
Seg,- - -,- -,30/6/2026,89.500 € p/m,N/D,N/D,María Mosquera,400m € - 4M €,-,-,24M €
Seg,- - -,- -,30/6/2027,98.500 € p/m,N/D,N/D,Antonio José Albarrán,46M € - 72M €,-,-,100M €
,- - -,- -,30/6/2026,45.000 € p/m,N/D,N/D,Manuel Ramírez,"15M € - 18,5M €",-,-,15M €
,- - -,- -,30/6/2026,99.000 € p/m,N/D,N/D,Flavien Cazaux,"5,8M € - 9,2M €",-,-,"22,5M €"
Int,- - -,- -,30/6/2029,449.000 € p/m,N/D,N/D,Alirıza Köseoğlu,55M € - 68M €,-,-,500M €
,- - -,- -,30/6/2026,95.000 € p/m,N/D,N/D,Iago Menéndez,No a la venta,-,-,25M €
,- - -,- -,30/6/2026,46.500 € p/m,N/D,N/D,Roland Tóth,16M € - 25M €,-,-,25M €
Int,- - -,- -,30/6/2028,52.500 € p/m,N/D,N/D,Julio César Rodríguez,48M € - 62M €,-,-,87M €
,- - -,- -,30/6/2027,63.000 € p/m,N/D,N/D,María Mosquera,"17,5M € - 21M €",-,-,"23,5M €"
Int,- - -,- -,30/6/2028,84.000 € p/m,N/D,N/D,Peter van Veldhuizen,"10,5M € - 13,5M €",-,-,46M €
Trn,- - -,- -,30/6/2024,217.000 € p/m,N/D,N/D,Matt Atkinson,30m €,-,-,"17,5M €"
,- - -,- -,30/6/2028,137.000 € p/m,N/D,N/D,Jairo Olivera,24M € - 31M €,-,-,"45,5M €"
,- - -,- -,30/6/2026,93.000 € p/m,N/D,N/D,Javi Barbero,"55m € - 9,2M €",-,-,"14,5M €"
,- - -,- -,30/6/2027,151.000 € p/m,N/D,N/D,Luís Mendes,29M € - 46M €,-,-,227M €
,- - -,- -,30/6/2026,68.500 € p/m,N/D,N/D,Julián Guillén,20M € - 31M €,-,-,"33,5M €"
,- - -,- -,30/6/2025,62.500 € p/m,N/D,N/D,Álvaro Trigo,"8,6M € - 11M €",-,-,80M €
Int,- - -,- -,30/6/2025,182.000 € p/m,N/D,N/D,Iago Menéndez,"650m € - 6,8M €",-,-,-
Seg,- - -,- -,30/6/2029,59.500 € p/m,N/D,N/D,Flavien Cazaux,"10M € - 12,5M €",-,-,"21,5M €"
Int,- - -,- -,30/6/2027,101.000 € p/m,N/D,N/D,Scott Rose,"6,2M € - 9,8M €",-,-,"17,5M €"
,- - -,- -,30/6/2025,55.000 € p/m,N/D,N/D,Fernando Nadal,"4M € - 8,2M €",-,-,15M €
,- - -,- -,30/6/2027,122.000 € p/m,N/D,N/D,Álvaro Trigo,41M € - 50M €,-,-,-
,- - -,- -,30/6/2025,121.000 € p/m,N/D,N/D,Iago Menéndez,"45m € - 7,6M €",-,-,"39,5M €"
,- - -,- -,30/6/2026,158.000 € p/m,N/D,N/D,Santiago Berrocal,"6M € - 9,6M €",-,-,"19,5M €"
Int,- - -,- -,30/6/2027,54.500 € p/m,N/D,N/D,Héctor Vargas,"9,2M € - 14,5M €",-,-,"21,5M €"
Seg,- - -,- -,30/6/2027,75.500 € p/m,N/D,N/D,Rubén Cornejo,"10,5M € - 13,5M €",-,-,"22,5M €"
,- - -,- -,30/6/2025,167.000 € p/m,N/D,N/D,María Mosquera,"3,5M € - 7,2M €",-,-,250M €
Ret,- - -,- -,30/6/2024,7.750 € p/m,N/D,N/D,Rakan Al-Shammari,0 € - 18m €,-,-,"2,4M €"
,- - -,- -,30/6/2028,155.000 € p/m,N/D,N/D,Jairo Olivera,36M € - 58M €,-,-,55M €
,- - -,- -,30/6/2029,403.000 € p/m,N/D,N/D,Bastian Lenz,74M € - 91M €,-,-,111M €
,- - -,- -,30/6/2028,76.000 € p/m,N/D,N/D,Iago Menéndez,20M € - 32M €,-,-,25M €
,- - -,- -,30/6/2027,131.000 € p/m,N/D,N/D,María Mosquera,No a la venta,-,-,50M €
Int,- - -,- -,30/6/2025,154.000 € p/m,N/D,N/D,Dolors Acevedo,"350m € - 3,4M €",-,-,-
Seg,- - -,- -,30/6/2026,121.000 € p/m,N/D,N/D,María Mosquera,29M €,-,-,48M €
Int,- - -,- -,30/6/2026,170.000 € p/m,N/D,N/D,Jair González,"7,6M € - 12M €",-,-,"15,5M €"
Seg,- - -,- -,30/6/2029,41.000 € p/m,N/D,N/D,Raul Beltrami Teixeira,"11M € - 13,5M €",-,-,11M €
Int,- - -,- -,30/6/2025,248.000 € p/m,N/D,N/D,Jermaine Dawson,"475m € - 4,7M €",-,-,-
,- - -,- -,30/6/2027,140.000 € p/m,N/D,N/D,Özcan Parlak,24M € - 39M €,-,-,"42,5M €"
,- - -,- -,30/6/2026,73.500 € p/m,N/D,N/D,Ernesto Cabrera,25M € - 33M €,-,-,"32,5M €"
Seg,- - -,- -,30/6/2026,94.500 € p/m,N/D,N/D,Will Law,24M € - 38M €,-,-,"38,5M €"
,- - -,- -,30/6/2026,75.000 € p/m,N/D,N/D,Juan Antonio Yubero,67M € - 86M €,-,-,1Mil.M €
,- - -,- -,30/6/2027,253.000 € p/m,N/D,N/D,Christian Viroli,28M € - 36M €,-,-,44M €
Seg,- - -,- -,30/6/2028,120.000 € p/m,N/D,N/D,Álvaro Trigo,43M € - 69M €,-,-,89M €
,- - -,- -,30/6/2025,33.500 € p/m,N/D,N/D,Jairo Olivera,"110m € - 1,1M €",-,-,"7,25M €"
,- - -,- -,30/6/2028,170.000 € p/m,N/D,N/D,Javier da Silva,60M € - 73M €,-,-,80M €
,- - -,- -,30/6/2025,62.500 € p/m,N/D,N/D,María Mosquera,"700m € - 7,2M €",-,-,"13,25M €"
Seg,- - -,- -,30/6/2028,162.000 € p/m,N/D,N/D,Rubén Cornejo,"4,3M € - 8,6M €",-,-,"21,5M €"
Int,- - -,- -,30/6/2026,95.500 € p/m,N/D,N/D,Álvaro Trigo,60m € - 600m €,-,-,"11,75M €"
,- - -,- -,30/6/2027,114.000 € p/m,N/D,N/D,Fernando Nadal,20M € - 32M €,-,-,"31,5M €"
Seg,- - -,- -,30/6/2028,49.000 € p/m,N/D,N/D,David Senden,"8,2M € - 13M €",-,-,18M €
,- - -,- -,30/6/2028,89.000 € p/m,N/D,N/D,Álvaro Trigo,31M € - 40M €,-,-,100M €
,- - -,- -,30/6/2028,186.000 € p/m,N/D,N/D,Jairo Olivera,31M € - 48M €,-,-,82M €
,- - -,- -,30/6/2025,39.000 € p/m,N/D,N/D,Iago Menéndez,"2,5M € - 5,2M €",-,-,10M €
,- - -,- -,30/6/2028,43.000 € p/m,N/D,N/D,Jonathan Pierron,"19,5M € - 24M €",-,-,100M €
Seg,- - -,- -,30/6/2026,101.000 € p/m,N/D,N/D,Ernesto Cabrera,"15,5M € - 25M €",-,-,20M €
Int,- - -,- -,30/6/2028,42.000 € p/m,N/D,N/D,Tim Gilson,"4,9M € - 6,4M €",-,-,"13,5M €"
Lib,- - -,- -,30/6/2025,404.000 € p/m,N/D,N/D,Jairo Olivera,25M € - 40M €,-,-,-
,- - -,- -,30/6/2026,181.000 € p/m,N/D,N/D,Patrick Wolf,41M € - 65M €,-,-,-
Int,- - -,- -,31/5/2028,121.000 € p/m,N/D,N/D,Alexandru Ioniţă,"11,5M € - 18M €",-,-,-
,- - -,- -,30/6/2026,103.000 € p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,"30,5M €"
,- - -,- -,30/6/2029,116.000 € p/m,N/D,N/D,Yakov Saidov,22M € - 27M €,-,-,75M €
,- - -,- -,30/6/2028,128.000 € p/m,N/D,N/D,Santiago Berrocal,54M € - 86M €,-,-,85M €
Ofer,- - -,- -,30/6/2026,52.000 € p/m,N/D,N/D,Fernando Nadal,"1,3M €",-,-,"13,5M €"
Seg,- - -,- -,30/6/2027,432.000 € p/m,N/D,N/D,Jairo Olivera,"7,6M € - 10M €",-,-,250M €
,- - -,- -,30/6/2026,139.000 € p/m,N/D,N/D,Iago Menéndez,100m € - 1M €,-,-,12M €
,- - -,- -,30/6/2026,75.000 € p/m,N/D,N/D,Rubén Cornejo,21M € - 34M €,-,-,"45,5M €"
Ret,- - -,- -,30/6/2024,76.500 € p/m,N/D,N/D,Claudio Fiorucci,0€,-,-,"9,75M €"
,- - -,- -,30/6/2026,106.000 € p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,44M €
Seg,- - -,- -,30/6/2027,48.500 € p/m,N/D,N/D,Jermaine Dawson,500m € - 5M €,-,-,24M €
,- - -,- -,30/6/2026,42.000 € p/m,N/D,N/D,Luís Mendes,"3,2M € - 6,8M €",-,-,"10,75M €"
,- - -,- -,30/6/2028,140.000 € p/m,N/D,N/D,Juan Amaro,"7,2M € - 11,5M €",-,-,41M €
Trn,- - -,- -,30/6/2024,18.000 € p/m,N/D,N/D,Gencay Kilic,"1,5m €",-,-,550m €
,- - -,- -,30/6/2026,125.000 € p/m,N/D,N/D,Jairo Olivera,"19,5M € - 24M €",-,-,69M €
,- - -,- -,30/6/2028,47.000 € p/m,N/D,N/D,Álvaro Trigo,16M € - 26M €,-,-,32M €
,- - -,- -,30/6/2027,455.000 € p/m,N/D,N/D,Rubén Cornejo,45M € - 71M €,-,-,-
,- - -,- -,30/6/2027,78.000 € p/m,N/D,N/D,Tim Gilson,"4,6M € - 7,4M €",-,-,"12,75M €"
Seg,- - -,- -,30/6/2026,39.500 € p/m,N/D,N/D,Camila Umpiérrez,"325m € - 3,4M €",-,-,"10,75M €"
,- - -,- -,30/6/2027,34.000 € p/m,N/D,N/D,Christian Viroli,"5,4M € - 7M €",-,-,"10,25M €"
,- - -,- -,30/6/2026,332.000 € p/m,N/D,N/D,Felix Bonrath,"11,5M € - 18M €",-,-,"29,5M €"
,- - -,- -,30/6/2027,139.000 € p/m,N/D,N/D,Iago Menéndez,No a la venta,-,-,26M €
Seg,- - -,- -,30/6/2029,217.000 € p/m,N/D,N/D,Will Law,"7,6M € - 9,4M €",-,-,"23,5M €"
Seg,- - -,- -,30/6/2027,83.000 € p/m,N/D,N/D,Jairo Olivera,"14,5M € - 18M €",-,-,27M €
,- - -,- -,30/6/2026,26.500 € p/m,N/D,N/D,Marc Cope,"3,9M € - 6,2M €",-,-,"33,5M €"
Trn,- - -,- -,30/6/2026,288.000 € p/m,N/D,N/D,Fernando Nadal,"4,4M €",-,-,400M €
,- - -,- -,30/6/2026,63.000 € p/m,N/D,N/D,Ignacio Tinoco,"7,4M € - 11,5M €",-,-,25M €
Seg,- - -,- -,30/6/2025,15.250 € p/m,N/D,N/D,Omar Seddiki,"5,6M € - 8,8M €",-,-,8M €
Seg,- - -,- -,30/6/2027,83.500 € p/m,N/D,N/D,Santiago Berrocal,21M € - 33M €,-,-,"31,5M €"
,- - -,- -,30/6/2026,35.500 € p/m,N/D,N/D,Florian Ridel,"6M € - 7,6M €",-,-,"7,75M €"
