,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
- - -,Int,José Giménez,A. Madrid,DF (C),185 cm,77 kg,29,Derecha,Perfeccionista,---,,6.91,URU,Soberbia,Inteligente
- - -,,Brahim Díaz,R. Madrid,"ME (C), MP (DC)",170 cm,68 kg,24,Derecha,Resuelto,---,,07.03,MAR,Soberbia,Técnico
- - -,,Marcos Llorente,A. Madrid,"CR (D), MC, ME (DC), MP (C)",184 cm,73 kg,29,Derecha,Profesional,---,,6.92,ESP,Soberbia,Físico
- - -,Seg,Brais Méndez,Real San Sebastián,"ME (C), MP (DC)",187 cm,76 kg,27,Izquierda,Equilibrada,---,,7.17,ESP,Soberbia,Técnico
- - -,Seg,Artem Dovbyk,Girona,DL (C),189 cm,87 kg,27,Izquierda,Profesional,---,,6.94,UKR,Soberbia,Físico
- - -,Seg,Robin Le Normand,Real San Sebastián,DF (C),187 cm,80 kg,27,Solo derecha,Bastante profesional,---,,07.01,ESP,Soberbia,Técnico
- - -,Ofer,Yeremy Pino,Villarreal,"ME (D), MP (DIC), DL (C)",172 cm,65 kg,21,Derecha,Enérgico,---,,07.09,ESP,Soberbia,Creativo
- - -,Seg,Martín Zubimendi,Real San Sebastián,"MC, ME (C)",181 cm,74 kg,25,Derecha,Enérgico,---,,6.93,ESP,Soberbia,Técnico
- - -,Les,Marcos Acuña,Sevilla,DF/CR/ME (I),172 cm,71 kg,32,Izquierda,Bastante decidido,---,,6.92,ARG,Soberbia,Líder
- - -,Ret,Iago Aspas,Vigo,"MP (DC), DL (C)",176 cm,66 kg,36,Izquierda,Líder,---,,6.93,ESP,Soberbia,Inteligente
- - -,,Youssef En-Nesyri,Sevilla,DL (C),189 cm,73 kg,27,Izquierda,Bastante ambicioso,---,,6.99,MAR,Soberbia,Físico
- - -,Seg,Isco,Real Hispalis,ME/MP (DIC),176 cm,78 kg,32,Derecha,Equilibrada,---,,6.95,ESP,Soberbia,Creativo
- - -,Les,Yan Couto,Girona,DF/CR/ME/MP (D),170 cm,65 kg,22,Derecha,Equilibrada,---,,6.95,BRA,Muy buena+,Técnico
- - -,,Thomas Lemar,A. Madrid,"CR (I), ME/MP (IC)",170 cm,58 kg,28,Izquierda,Ciudadano modelo,---,,6.91,FRA,Muy buena+,Creativo
- - -,Les,Nabil Fekir,Real Hispalis,"MP (DIC), DL (C)",173 cm,72 kg,30,Izquierda,Perfeccionista,---,,6.76,FRA,Muy buena+,Creativo
- - -,,Álex Baena,Villarreal,"ME (C), MP (DIC), DL (C)",174 cm,69 kg,22,Derecha,Equilibrada,---,,6.96,ESP,Muy buena+,Creativo
- - -,,Dani Ceballos,R. Madrid,ME/MP (C),179 cm,71 kg,27,Derecha,Equilibrada,---,,6.69,ESP,Muy buena+,Técnico
- - -,,Axel Witsel,A. Madrid,"DF (C), MC, ME (C)",186 cm,81 kg,35,Derecha,Enérgico,---,,6.96,BEL,Muy buena+,Inteligente
- - -,Seg,Ángel Correa,A. Madrid,"ME (D), MP (DIC), DL (C)",172 cm,67 kg,29,Derecha,Bastante profesional,---,,6.88,ARG,Muy buena+,Creativo
- - -,,Andriy Lunin,R. Madrid,POR,191 cm,83 kg,25,Derecha,Enérgico,---,,6.97,UKR,Muy buena+,Guardameta
- - -,,Eric García,Girona,"DF (C), MC",182 cm,79 kg,23,Derecha,Resuelto,---,,07.01,ESP,Muy buena+,Técnico
- - -,,Mouctar Diakhaby,Valencia,"DF (C), MC",192 cm,78 kg,27,Derecha,Resuelto,---,,07.05,GUI,Muy buena+,Físico
- - -,Trn,Sergi Roberto,Barcelona,"DF/CR (D), MC, ME (DC)",178 cm,67 kg,32,Derecha,Bastante profesional,---,,07.04,ESP,Muy buena+,Líder
- - -,Les,Stefan Savić,A. Madrid,DF (C),187 cm,79 kg,33,Derecha,Enérgico,---,,6.82,MNE,Muy buena+,Inteligente
- - -,,Reinildo,A. Madrid,"DF (IC), CR (I)",180 cm,68 kg,30,Izquierda,Resuelto,---,,6.70,MOZ,Muy buena+,Técnico
- - -,Int,Alexander Sørloth,Villarreal,DL (C),194 cm,90 kg,28,Izquierda,Equilibrada,---,,6.97,NOR,Muy buena+,Físico
- - -,,Daley Blind,Girona,"DF (IC), CR (I), MC",180 cm,71 kg,34,Izquierda,Ciudadano modelo,---,,7.00,NED,Muy buena+,Inteligente
- - -,,Ez Abde,Real Hispalis,"ME/MP (DI), DL (C)",177 cm,73 kg,22,Derecha,Enérgico,---,,6.94,MAR,Muy buena+,Físico
- - -,,Raúl Albiol,Villarreal,DF (C),190 cm,82 kg,38,Derecha,Bastante profesional,---,,6.89,ESP,Muy buena+,Líder
- - -,,Giorgi Mamardashvili,Valencia,POR,199 cm,94 kg,23,Izquierda,Equilibrada,---,,6.76,GEO,Muy buena+,Con autoridad
- - -,Int,Nemanja Maksimović,Getafe,"MC, ME (DC)",184 cm,75 kg,29,Derecha,Bastante decidido,---,,07.09,SRB,Muy buena+,Líder
- - -,,Sávio,Girona,"MP (DI), DL (C)",173 cm,66 kg,20,Solo izquierda,Enérgico,---,,7.11,BRA,Muy buena+,Creativo
- - -,Seg,Takefusa Kubo,Real San Sebastián,"ME/MP (DC), DL (C)",173 cm,64 kg,23,Izquierda,Decidido,---,,6.98,JPN,Muy buena+,Creativo
- - -,Int,Kepa Arrizabalaga,R. Madrid,POR,188 cm,88 kg,29,Derecha,Bastante profesional,---,,07.02,ESP,Muy buena+,Distribuidor
- - -,Int,Dani Vivian,A. Bilbao,"DF (C), MC",183 cm,83 kg,24,Derecha,Perfeccionista,---,,6.95,ESP,Muy buena+,Técnico
- - -,Les,Martin Braithwaite,Espanyol,"MP (DIC), DL (C)",177 cm,75 kg,33,Derecha,Resuelto,---,,6.93,DEN,Muy buena+,Líder
- - -,Ofer,Germán Pezzella,Real Hispalis,DF (C),187 cm,81 kg,32,Derecha,Resuelto,---,,6.84,ARG,Muy buena+,Inteligente
- - -,,Éric Bailly,Villarreal,DF (C),187 cm,77 kg,30,Derecha,Bastante profesional,---,,6.85,CIV,Muy buena+,Físico
- - -,Seg,Jonathan Bamba,Vigo,"MP (DI), DL (C)",175 cm,72 kg,28,Derecha,Bastante ambicioso,---,,6.87,CIV,Muy buena+,Físico
- - -,Int,Yangel Herrera,Girona,"MC, ME (C)",184 cm,77 kg,26,Derecha,Bastante ambicioso,---,,6.98,VEN,Muy buena+,Líder
- - -,Int,Nemanja Gudelj,Sevilla,"DF (C), MC, ME (C)",186 cm,76 kg,32,Derecha,Perfeccionista,---,,7.00,SRB,Muy buena+,Líder
- - -,,Lucas Vázquez,R. Madrid,DF/CR/ME/MP (D),173 cm,70 kg,32,Derecha,Bastante profesional,---,,6.73,ESP,Muy buena+,Líder
- - -,Seg,Marcos Alonso,Barcelona,"DF (IC), CR/ME (I)",188 cm,87 kg,33,Izquierda,Equilibrada,---,,07.01,ESP,Muy buena+,Técnico
- - -,Ret,Joselu,R. Madrid,DL (C),191 cm,86 kg,34,Derecha,Ambicioso,---,,6.89,ESP,Muy buena+,Inteligente
- - -,Int,André Silva,Real San Sebastián,DL (C),185 cm,84 kg,28,Derecha,Bastante profesional,---,,6.81,POR,Muy buena+,Inteligente
- - -,,Raúl De Tomás,Vallecano,"MP (C), DL (C)",180 cm,72 kg,29,Derecha,Equilibrada,---,,6.74,ESP,Muy buena+,Técnico
- - -,Int,Íñigo Martínez,Barcelona,DF (C),182 cm,77 kg,33,Izquierda,,---,,6.70,ESP,Muy buena+,Líder
- - -,,Francis Coquelin,Villarreal,"MC, ME (DC)",176 cm,73 kg,33,Derecha,,---,,6.83,FRA,Muy buena+,Líder
- - -,Ofer,Vedat Muriqi,Mallorca,DL (C),194 cm,92 kg,30,Izquierda,,---,,6.84,KOS,Muy buena+,Líder
- - -,,Denis Suárez,Villarreal,ME/MP (IC),178 cm,66 kg,30,Derecha,,---,,07.03,ESP,Muy buena+,Técnico
- - -,,Johan Mojica,Atlético Pamplona,DF/CR/ME (I),179 cm,65 kg,31,Izquierda,,---,,6.83,COL,Muy buena+,Físico
- - -,,Mario Hermoso,A. Madrid,DF (IC),184 cm,75 kg,29,Izquierda,,---,,6.83,ESP,Muy buena+,Técnico
- - -,Ofer,César Azpilicueta,A. Madrid,"DF (DIC), CR (DI)",178 cm,78 kg,34,Derecha,,---,,6.61,ESP,Muy buena+,Líder
- - -,,Iker Muniain,A. Bilbao,"ME (IC), MP (DIC)",170 cm,66 kg,31,Derecha,,---,,07.04,ESP,Muy buena+,Creativo
- - -,,Álvaro Odriozola,Real San Sebastián,DF/CR (D),175 cm,66 kg,28,Derecha,,---,,7.20,ESP,Muy buena+,Técnico
- - -,,Viktor Tsygankov,Girona,ME/MP (DI),178 cm,72 kg,26,Izquierda,,---,,07.03,UKR,Muy buena+,Técnico
- - -,Seg,Óscar Mingueza,Vigo,"DF (DIC), CR (D)",184 cm,75 kg,25,Derecha,,---,,07.01,ESP,Muy buena+,Líder
- - -,Les,Erik Lamela,Sevilla,"ME (D), MP (DIC), DL (C)",181 cm,78 kg,32,Izquierda,,---,,6.88,ARG,Muy buena+,Técnico
- - -,,Youssouf Sabaly,Real Hispalis,DF/CR (D),174 cm,68 kg,31,Derecha,,---,,6.88,SEN,Muy buena+,Físico
- - -,,Yuri,A. Bilbao,DF/CR (I),181 cm,78 kg,34,Izquierda,,---,,6.85,ALG,Muy buena+,Técnico
- - -,Seg,Umar Sadiq,Real San Sebastián,DL (C),192 cm,75 kg,27,Derecha,,---,,6.81,NGA,Muy buena+,Físico
- - -,,Aïssa Mandi,Villarreal,DF (DIC),184 cm,78 kg,32,Derecha,,---,,6.83,ALG,Muy buena+,Líder
- - -,Int,Djibril Sow,Sevilla,"MC, ME (C)",183 cm,77 kg,27,Derecha,,---,,6.95,SUI,Muy buena+,Físico
- - -,,Jeremías Ledesma,Cádiz,POR,186 cm,85 kg,31,Derecha,,---,,6.57,ARG,Muy buena+,Guardameta
- - -,Ofer,Héctor Bellerín,Real Hispalis,DF/CR (D),177 cm,74 kg,29,Derecha,,---,,6.82,ESP,Muy buena+,Físico
- - -,Seg,Hamari Traoré,Real San Sebastián,DF/CR (D),175 cm,71 kg,32,Derecha,,---,,7.10,MLI,Muy buena+,Físico
- - -,Seg,Suso,Sevilla,ME/MP (DC),176 cm,70 kg,30,Izquierda,,---,,6.80,ESP,Muy buena+,Creativo
- - -,,Alberto Moreno,Villarreal,DF/CR/ME (I),171 cm,65 kg,31,Solo izquierda,,---,,6.77,ESP,Muy buena+,Técnico
- - -,Fic,Trevoh Chalobah,A. Madrid,"DF (DC), MC",192 cm,85 kg,24,Derecha,,---,,07.05,ENG,Muy buena+,Inteligente
- - -,,Jesús Navas,Sevilla,DF/CR/ME/MP (D),170 cm,60 kg,38,Derecha,,---,,6.86,ESP,Muy buena+,Líder
- - -,Seg,Marc Bartra,Real Hispalis,DF (C),184 cm,73 kg,33,Derecha,,---,,6.75,ESP,Muy buena+,Inteligente
- - -,,Djéné Dakonam,Getafe,"DF (C), MC",178 cm,71 kg,32,Derecha,,---,,6.71,TOG,Muy buena+,Físico
- - -,,Pathé Ciss,Vallecano,"DF (C), MC, ME (C)",183 cm,71 kg,30,Derecha,,---,,6.84,SEN,Muy buena+,Físico
- - -,Seg,Miguel Gutiérrez,Girona,DF/CR (I),180 cm,75 kg,22,Izquierda,,---,,6.99,ESP,Muy buena+,Técnico
- - -,Seg,Matías Arezo,Granada,DL (C),178 cm,76 kg,21,Derecha,,---,,6.71,URU,Muy buena+,Técnico
- - -,,Álex Remiro,Real San Sebastián,POR,192 cm,80 kg,29,Derecha,,---,,6.81,ESP,Muy buena+,Distribuidor
- - -,Int,Luca De La Torre,Vigo,"ME (IC), MP (DIC)",177 cm,68 kg,26,Izquierda,,---,,6.66,USA,Muy buena+,Creativo
- - -,Int,Stole Dimitrievski,Vallecano,POR,188 cm,89 kg,30,Derecha,,---,,6.68,MKD,Muy buena+,Con autoridad
- - -,,Saúl,A. Madrid,"MC, ME (DIC)",184 cm,76 kg,29,Izquierda,,---,,6.79,ESP,Muy buena+,Técnico
- - -,Int,Omar Alderete,Getafe,DF (C),188 cm,92 kg,27,Izquierda,,---,,6.87,PAR,Muy buena+,Físico
- - -,,Ander Barrenetxea,Real San Sebastián,ME/MP (DI),178 cm,74 kg,22,Derecha,,---,,07.02,ESP,Muy buena+,Físico
- - -,,Aritz Elustondo,Real San Sebastián,DF (DC),182 cm,72 kg,30,Derecha,,---,,07.04,ESP,Muy buena+,Líder
- - -,Opc,Leandro Cabrera,Espanyol,DF (IC),188 cm,81 kg,33,Izquierda,,---,,6.92,URU,Muy buena+,Líder
- - -,Trn,Étienne Capoue,Villarreal,"MC, ME (C)",189 cm,80 kg,35,Derecha,,---,,6.98,FRA,Muy buena+,Inteligente
- - -,,Darko Brašanac,Leganés,"MC, ME/MP (C)",178 cm,73 kg,32,Derecha,,---,,7.10,SRB,Muy buena+,Líder
- - -,,Domingos Duarte,Getafe,DF (C),190 cm,84 kg,29,Derecha,,---,,6.64,POR,Muy buena+,Físico
- - -,,Oihan Sancet,A. Bilbao,ME/MP (C),188 cm,73 kg,24,Derecha,,---,,7.12,ESP,Muy buena+,Inteligente
- - -,,Ante Budimir,Atlético Pamplona,DL (C),190 cm,75 kg,32,Izquierda,,---,,6.84,CRO,Muy buena+,Inteligente
- - -,Seg,Rui Silva,Real Hispalis,POR,191 cm,91 kg,30,Izquierda,,---,,6.52,POR,Muy buena+,Distribuidor
- - -,Seg,Javi Guerra,Valencia,"MC, ME (DC), MP (C)",187 cm,76 kg,21,Derecha,,---,,07.06,ESP,Muy buena+,Creativo
- - -,,Brian Ocampo,Cádiz,MP (DI),172 cm,67 kg,24,Derecha,,---,,6.95,URU,Muy buena+,Creativo
- - -,Int,Arda Güler,R. Madrid,MP (DC),175 cm,71 kg,19,Izquierda,,---,,6.97,TUR,Muy buena+,Creativo
- - -,,Predrag Rajković,Mallorca,POR,191 cm,88 kg,28,Derecha,,---,,6.53,SRB,Muy buena+,Con autoridad
- - -,,Alfonso Espino,Vallecano,DF (IC),172 cm,71 kg,32,Solo izquierda,,---,,6.83,URU,Muy buena+,Líder
- - -,,Myrto Uzuni,Granada,"ME (I), MP (DIC), DL (C)",178 cm,72 kg,29,Derecha,,---,,6.96,ALB,Muy buena+,Líder
- - -,Int,Samu Omorodion,Alavés,DL (C),193 cm,86 kg,20,Derecha,,---,,6.84,ESP,Muy buena+,Físico
- - -,,Lucas Boyé,Granada,"MP (DIC), DL (C)",179 cm,81 kg,28,Derecha,,---,,6.76,ARG,Muy buena+,Físico
- - -,Int,Jørgen Strand Larsen,Vigo,DL (C),193 cm,78 kg,24,Derecha,,---,,6.79,NOR,Muy buena+,Físico
- - -,Trn,Bertrand Traoré,Villarreal,"MP (DI), DL (C)",181 cm,73 kg,28,Solo izquierda,,---,,6.89,BFA,Muy buena+,Físico
- - -,,Unai Núñez,Vigo,DF (C),186 cm,81 kg,27,Derecha,,---,,6.68,ESP,Muy buena+,Físico
- - -,,Gabriel Paulista,A. Madrid,DF (C),187 cm,71 kg,33,Derecha,,---,,6.71,BRA,Muy buena+,Líder
- - -,,Samuel Lino,A. Madrid,"DF/CR/ME (I), MP (DI)",178 cm,72 kg,24,Derecha,,---,,6.74,BRA,Muy buena+,Físico
- - -,,Rafa Marín,Alavés,DF (C),191 cm,79 kg,22,Derecha,,---,,6.90,ESP,Muy buena+,Físico
- - -,,Óscar,Getafe,ME/MP (IC),175 cm,68 kg,25,Derecha,,---,,07.07,ESP,Muy buena+,Creativo
- - -,Int,Maximiliano Gómez,Cádiz,DL (C),186 cm,85 kg,27,Derecha,,---,,6.71,URU,Muy buena,Líder
- - -,Seg,Luis Suárez,Almería,"MP (I), DL (C)",185 cm,74 kg,26,Derecha,,---,,6.71,COL,Muy buena,Físico
- - -,Int,Carl Starfelt,Vigo,DF (C),185 cm,80 kg,29,Derecha,,---,,6.92,SWE,Muy buena,Líder
- - -,,Iván Balliu,Vallecano,DF/CR (D),172 cm,63 kg,32,Derecha,,---,,6.76,ALB,Muy buena,Técnico
- - -,,Hannibal,Sevilla,ME/MP (C),182 cm,70 kg,21,Derecha,,---,,6.77,TUN,Muy buena,Físico
- - -,,José Luis Morales,Villarreal,"ME/MP (DI), DL (C)",184 cm,70 kg,36,Derecha,,---,,7.13,ESP,Muy buena,Técnico
- - -,,Joseph Aidoo,Vigo,DF (C),184 cm,80 kg,28,Solo derecha,,---,,6.80,GHA,Muy buena,Físico
- - -,Seg,Munir,Las Palmas,"MP (DI), DL (C)",175 cm,69 kg,28,Izquierda,,---,,6.93,MAR,Muy buena,Creativo
- - -,Int,Renato Tapia,Vigo,"DF (C), MC, ME (C)",185 cm,80 kg,28,Derecha,,---,,6.90,PER,Muy buena,Líder
- - -,,Jesús Vallejo,Granada,DF (DC),184 cm,79 kg,27,Derecha,,---,,6.70,ESP,Muy buena,Inteligente
- - -,,Alfonso Pedraza,Villarreal,DF/CR/ME/MP (I),184 cm,73 kg,28,Izquierda,,---,,6.89,ESP,Muy buena,Físico
- - -,Ret,Santi Cazorla,Oviedo,"MC, ME (C), MP (DIC)",168 cm,65 kg,39,Derecha,,---,,6.77,ESP,Muy buena,Creativo
- - -,,Tanguy Nianzou,Sevilla,"DF (C), MC",191 cm,85 kg,22,Derecha,,---,,07.04,FRA,Muy buena,Físico
- - -,,Samú,Mallorca,"MC, ME (C)",183 cm,74 kg,23,Izquierda,,---,,6.90,POR,Muy buena,Inteligente
- - -,,Mikel Vesga,A. Bilbao,"MC, ME (C)",191 cm,84 kg,31,Izquierda,,---,,6.95,ESP,Muy buena,Inteligente
- - -,Int,Jakub Jankto,Valencia,"ME (DIC), MP (DI), DL (C)",184 cm,74 kg,28,Izquierda,,---,,6.80,CZE,Muy buena,Inteligente
- - -,Seg,Sergi Darder,Mallorca,"MC, ME (C)",180 cm,72 kg,30,Derecha,,---,,6.88,ESP,Muy buena,Inteligente
- - -,Int,Darwin Machís,Cádiz,"ME/MP (DI), DL (C)",171 cm,72 kg,31,Derecha,,---,,6.90,VEN,Muy buena,Físico
- - -,Seg,Johnny,Real Hispalis,"MC, ME/MP (C)",184 cm,78 kg,22,Derecha,,---,,6.58,USA,Muy buena,Físico
- - -,Int,Michail Antonio,Valencia,"ME/MP (D), DL (C)",180 cm,81 kg,34,Derecha,,---,,6.73,JAM,Muy buena,Físico
- - -,,Marcão,Sevilla,DF (C),185 cm,80 kg,28,Izquierda,,---,,6.84,BRA,Muy buena,Líder
- - -,,Aimar,Atlético Pamplona,"ME (C), MP (IC)",177 cm,70 kg,22,Derecha,,---,,6.84,ESP,Muy buena,Técnico
- - -,Seg,Aleix García,Girona,"MC, ME (C)",173 cm,68 kg,26,Derecha,,---,,6.98,ESP,Muy buena,Inteligente
- - -,,Lamine Yamal,Barcelona,MP (DI),181 cm,62 kg,16,Solo izquierda,,---,,07.04,ESP,Muy buena,Creativo
- - -,,Carles Pérez,Vigo,"ME (DC), MP (DIC)",173 cm,75 kg,26,Izquierda,,---,,07.02,ESP,Muy buena,Creativo
- - -,Seg,Jorge Cuenca,Villarreal,DF (C),189 cm,76 kg,24,Izquierda,,---,,6.79,ESP,Muy buena,Físico
- - -,,Allan Nyom,Leganés,"DF (DC), CR/ME (D)",189 cm,79 kg,36,Solo derecha,,---,,6.88,CMR,Muy buena,Líder
