Nombre,Posición,Part,Min,Enc,xGE,BAt,BDs,Rp %,BRe,Pas I,Pas C,Portería imbatida,Pep %,Paradas/90,Pen. parados,Prop. penaltis parados,Gl Err,Pos Gan/90,Pos Perd/90
player_15,DF (C),49,3.963,-,-,-,-,-,-,2.993,2.808,-,-,-,-,-,0,"18,12","2,52"
player_16,ME/MP (C),23 (24),1.933,-,-,-,-,-,-,1.046,903,-,-,-,-,-,0,"16,06","8,66"
player_17,"MC, ME (C)",37 (1),3.210,-,-,-,-,-,-,1.831,1.614,-,-,-,-,-,0,"14,19","10,49"
player_18,"DF/CR (DI), ME (D)",19 (5),1.696,-,-,-,-,-,-,1.035,928,-,-,-,-,-,0,"14,65","11,3"
player_19,DL (C),40 (2),3.089,-,-,-,-,-,-,808,694,-,-,-,-,-,0,"2,39","19,35"
player_20,"ME (D), MP (DI), DL (C)",50,3.566,-,-,-,-,-,-,1.468,1.264,-,-,-,-,-,0,"5,02","16,05"
player_21,DF (C),49,4.268,-,-,-,-,-,-,3.106,2.931,-,-,-,-,-,0,"17,19","2,26"
player_22,"MC, ME (DIC)",39 (2),3.176,-,-,-,-,-,-,1.864,1.673,-,-,-,-,-,0,"13,29","12,02"
player_23,DF/CR/ME/MP (I),34,3.046,-,-,-,-,-,-,1.859,1.683,-,-,-,-,-,0,"15,36","10,16"
player_24,DF (C),4,360,-,-,-,-,-,-,267,258,-,-,-,-,-,0,"17,75",2
player_25,ME/MP (DC),38 (2),2.977,-,-,-,-,-,-,1.551,1.378,-,-,-,-,-,0,"13,24","14,27"
player_26,DF/CR (D),32 (3),2.623,-,-,-,-,-,-,1.811,1.679,-,-,-,-,-,0,"13,86","16,85"
player_27,"DF (DC), CR (D)",15 (6),1.504,-,-,-,-,-,-,1.160,1.091,-,-,-,-,-,1,"18,25","4,85"
player_28,"MP (DIC), DL (C)",34 (2),2.566,-,-,-,-,-,-,913,801,-,-,-,-,-,0,"5,65","13,15"
player_29,"MP (DC), DL (C)",41 (3),3.208,-,-,-,-,-,-,847,724,-,-,-,-,-,0,"2,22","14,87"
player_30,"ME (D), MP (DI)",35,2.641,-,-,-,-,-,-,1.123,952,-,-,-,-,-,0,"6,1","16,8"
player_31,"MC, ME (C)",40 (1),3.024,-,-,-,-,-,-,1.883,1.688,-,-,-,-,-,0,"14,23","5,12"
player_32,"ME (DI), MP (DIC), DL (C)",29,2.485,-,-,-,-,-,-,789,668,-,-,-,-,-,0,"3,55","13,04"
player_33,DF/CR/ME/MP (I),42 (1),3.657,-,-,-,-,-,-,2.219,1.949,-,-,-,-,-,0,"12,23","14,42"
player_34,DF/CR (I),33 (9),3.176,-,-,-,-,-,-,2.024,1.744,-,-,-,-,-,0,"12,81","14,4"
player_35,"DF (IC), CR (I)",36,2.926,-,-,-,-,-,-,1.851,1.649,-,-,-,-,-,0,"14,06","10,89"
player_36,"MP (DIC), DL (C)",16 (26),1.538,-,-,-,-,-,-,503,439,-,-,-,-,-,0,"4,68","14,75"
player_37,"MC, ME (C)",1 (36),789,-,-,-,-,-,-,466,414,-,-,-,-,-,0,"11,52","6,05"
player_38,DF/CR/ME (D),43 (1),3.480,-,-,-,-,-,-,1.725,1.480,-,-,-,-,-,0,"11,95","16,5"
player_39,"MC, ME (C)",10 (28),1.355,-,-,-,-,-,-,844,773,-,-,-,-,-,0,"16,74","6,84"
player_40,"ME (I), MP (IC), DL (C)",9 (19),1.041,-,-,-,-,-,-,242,212,-,-,-,-,-,0,"1,3","19,02"
player_41,"ME (C), MP (IC)",18 (25),1.960,-,-,-,-,-,-,1.141,1.030,-,-,-,-,-,0,"13,87","11,94"
player_42,DF (DIC),45 (1),4.079,-,-,-,-,-,-,3.033,2.814,-,-,-,-,-,1,"13,15","11,98"
player_43,DF (C),32 (1),2.702,-,-,-,-,-,-,2.098,1.981,-,-,-,-,-,0,"18,29","2,23"
player_44,"ME/MP (DI), DL (C)",39 (2),3.096,-,-,-,-,-,-,803,683,-,-,-,-,-,0,"2,03","15,58"
player_45,POR,35,3.035,37,"5,77",25,21,74%,61,978,861,10,89%,3,1,50%,0,"4,42","4,98"
player_46,"DF (DC), MC",41 (1),3.486,-,-,-,-,-,-,2.421,2.214,-,-,-,-,-,0,"13,92","12,57"
player_47,DF (C),35,2.714,-,-,-,-,-,-,2.101,1.970,-,-,-,-,-,0,"16,65","3,45"
player_48,"ME (C), MP (DC)",47,3.114,-,-,-,-,-,-,1.245,1.059,-,-,-,-,-,0,"12,49","18,44"
player_49,"CR (D), MC, ME (DC), MP (C)",39 (2),3.118,-,-,-,-,-,-,1.897,1.713,-,-,-,-,-,0,"13,13","8,49"
player_50,"ME (C), MP (DC)",40 (1),3.298,-,-,-,-,-,-,1.576,1.330,-,-,-,-,-,0,"5,92","16,89"
player_51,DL (C),37 (1),3.250,-,-,-,-,-,-,744,659,-,-,-,-,-,0,"2,44","18,3"
player_52,DF (C),40,3.321,-,-,-,-,-,-,2.561,2.409,-,-,-,-,-,1,"16,31","2,33"
player_53,"ME (D), MP (DIC), DL (C)",39,2.954,-,-,-,-,-,-,1.325,1.079,-,-,-,-,-,0,"5,58","11,61"
player_54,"MC, ME (C)",36 (1),2.704,-,-,-,-,-,-,1.578,1.415,-,-,-,-,-,0,"14,15","8,45"
player_55,DF/CR/ME (I),36,2.907,-,-,-,-,-,-,1.647,1.412,-,-,-,-,-,0,"12,94","11,98"
player_56,"MP (DC), DL (C)",37,2.384,-,-,-,-,-,-,885,750,-,-,-,-,-,0,"11,02","17,48"
player_57,DL (C),29,2.379,-,-,-,-,-,-,585,488,-,-,-,-,-,0,"2,12","15,96"
player_58,ME/MP (DIC),42,2.931,-,-,-,-,-,-,1.366,1.202,-,-,-,-,-,0,"10,19","14,16"
player_59,DF/CR/ME/MP (D),31,2.707,-,-,-,-,-,-,1.702,1.567,-,-,-,-,-,0,"12,27","10,57"
player_60,"CR (I), ME/MP (IC)",29 (13),2.226,-,-,-,-,-,-,1.303,1.116,-,-,-,-,-,0,"10,07","15,4"
player_61,"MP (DIC), DL (C)",12,717,-,-,-,-,-,-,182,144,-,-,-,-,-,0,"2,26","13,81"
player_62,"ME (C), MP (DIC), DL (C)",33,2.618,-,-,-,-,-,-,671,563,-,-,-,-,-,0,"2,44","14,92"
player_63,ME/MP (C),2 (19),543,-,-,-,-,-,-,259,221,-,-,-,-,-,0,"12,6","10,77"
player_64,"DF (C), MC, ME (C)",38 (6),3.161,-,-,-,-,-,-,2.207,2.022,-,-,-,-,-,0,"15,15","4,21"
player_65,"ME (D), MP (DIC), DL (C)",13 (7),1.034,-,-,-,-,-,-,264,231,-,-,-,-,-,0,"1,74","19,93"
player_66,POR,43 (1),3.831,34,"6,18",24,18,76%,62,1.398,1.234,21,89%,2,2,40%,0,"3,64","10,01"
player_67,"DF (C), MC",37,3.330,-,-,-,-,-,-,2.572,2.409,-,-,-,-,-,0,"16,89","2,43"
player_68,"DF (C), MC",35,3.114,-,-,-,-,-,-,2.416,2.251,-,-,-,-,-,0,"16,76","2,17"
player_69,"DF/CR (D), MC, ME (DC)",47,4.028,-,-,-,-,-,-,2.751,2.409,-,-,-,-,-,0,"10,93","16,62"
player_70,DF (C),14 (5),1.291,-,-,-,-,-,-,981,920,-,-,-,-,-,0,"13,73","4,6"
player_71,"DF (IC), CR (I)",4 (3),489,-,-,-,-,-,-,378,352,-,-,-,-,-,0,"13,25","2,76"
player_72,DL (C),24 (18),2.389,-,-,-,-,-,-,590,501,-,-,-,-,-,0,"1,62","16,46"
player_73,"DF (IC), CR (I), MC",34 (3),2.744,-,-,-,-,-,-,1.744,1.596,-,-,-,-,-,0,"13,71","6,82"
player_74,"ME/MP (DI), DL (C)",37 (7),2.759,-,-,-,-,-,-,1.007,849,-,-,-,-,-,0,"3,85","17,29"
player_75,DF (C),42,3.493,-,-,-,-,-,-,2.600,2.431,-,-,-,-,-,0,"16,13","3,35"
player_76,POR,35,3.147,45,"2,01",34,21,77%,90,1.116,1.017,10,88%,4,2,50%,2,"4,46","4,69"
player_77,"MC, ME (DC)",37,3.015,-,-,-,-,-,-,1.697,1.493,-,-,-,-,-,0,"13,43","12,15"
player_78,"MP (DI), DL (C)",32,2.425,-,-,-,-,-,-,836,715,-,-,-,-,-,0,"4,05","16,11"
player_79,"ME/MP (DC), DL (C)",17 (16),1.666,-,-,-,-,-,-,865,788,-,-,-,-,-,0,"11,45","10,32"
player_80,POR,5 (1),480,3,"3,38",4,2,81%,7,177,120,3,89%,2,0,-,0,"4,31","7,5"
player_81,"DF (C), MC",36,3.158,-,-,-,-,-,-,2.354,2.199,-,-,-,-,-,0,"15,73","2,02"
player_82,"MP (DIC), DL (C)",35 (1),2.755,-,-,-,-,-,-,684,585,-,-,-,-,-,0,"2,74","15,32"
player_83,DF (C),24,2.114,-,-,-,-,-,-,1.399,1.255,-,-,-,-,-,0,"14,18","4,34"
player_84,DF (C),10 (5),941,-,-,-,-,-,-,633,577,-,-,-,-,-,0,"13,58","3,44"
player_85,"MP (DI), DL (C)",32 (1),2.767,-,-,-,-,-,-,1.072,907,-,-,-,-,-,0,"3,81","19,58"
player_86,"MC, ME (C)",28 (1),2.380,-,-,-,-,-,-,1.227,1.097,-,-,-,-,-,0,"12,03","11,23"
player_87,"DF (C), MC, ME (C)",38,3.064,-,-,-,-,-,-,2.112,1.940,-,-,-,-,-,0,"12,1","5,87"
player_88,DF/CR/ME/MP (D),3 (3),439,-,-,-,-,-,-,274,259,-,-,-,-,-,0,"13,12","18,66"
player_89,"DF (IC), CR/ME (I)",6 (9),736,-,-,-,-,-,-,408,371,-,-,-,-,-,0,"11,13","17,24"
player_90,DL (C),11 (30),1.406,-,-,-,-,-,-,357,296,-,-,-,-,-,0,"1,47","23,75"
player_91,DL (C),27 (5),2.375,-,-,-,-,-,-,551,471,-,-,-,-,-,0,"2,16","20,31"
player_92,"MP (C), DL (C)",38,2.736,-,-,-,-,-,-,652,573,-,-,-,-,-,0,"1,58","21,45"
player_93,DF (C),1 (1),58,-,-,-,-,-,-,46,44,-,-,-,-,-,0,-,-
player_94,"MC, ME (DC)",31 (1),2.368,-,-,-,-,-,-,1.234,1.067,-,-,-,-,-,0,"12,62","12,58"
player_95,DL (C),29,2.459,-,-,-,-,-,-,654,556,-,-,-,-,-,0,"2,09","20,02"
player_96,ME/MP (IC),6 (9),651,-,-,-,-,-,-,257,215,-,-,-,-,-,0,"8,57","11,47"
player_97,DF/CR/ME (I),34 (1),2.948,-,-,-,-,-,-,1.785,1.555,-,-,-,-,-,0,"10,75","14,87"
player_98,DF (IC),44 (1),3.912,-,-,-,-,-,-,2.957,2.690,-,-,-,-,-,0,"15,99","3,77"
player_99,"DF (DIC), CR (DI)",7 (21),1.040,-,-,-,-,-,-,592,540,-,-,-,-,-,0,"10,9","12,38"
player_100,"ME (IC), MP (DIC)",28,2.100,-,-,-,-,-,-,916,807,-,-,-,-,-,0,"7,16","19,67"
player_101,DF/CR (D),22 (1),1.835,-,-,-,-,-,-,1.233,1.107,-,-,-,-,-,0,"11,82","12,02"
player_102,ME/MP (DI),16 (11),1.558,-,-,-,-,-,-,638,544,-,-,-,-,-,0,"4,16","16,87"
player_103,"DF (DIC), CR (D)",31,2.634,-,-,-,-,-,-,1.801,1.644,-,-,-,-,-,0,"12,4","9,6"
player_104,"ME (D), MP (DIC), DL (C)",12,963,-,-,-,-,-,-,249,206,-,-,-,-,-,0,"2,34","18,22"
player_105,DF/CR (D),32 (1),2.548,-,-,-,-,-,-,1.820,1.644,-,-,-,-,-,0,"10,46","18,54"
player_106,DF/CR (I),29,2.381,-,-,-,-,-,-,1.441,1.291,-,-,-,-,-,0,"11,91","15,5"
player_107,DL (C),3 (19),591,-,-,-,-,-,-,138,117,-,-,-,-,-,0,"1,07","18,27"
player_108,DF (DIC),19 (11),1.918,-,-,-,-,-,-,1.377,1.271,-,-,-,-,-,0,"15,25","5,72"
player_109,"MC, ME (C)",34 (4),2.763,-,-,-,-,-,-,1.562,1.358,-,-,-,-,-,0,"10,42","15,96"
player_110,POR,35,3.143,49,"5,4",33,25,74%,82,1.013,677,5,87%,4,0,0%,5,"4,21","8,22"
player_111,DF/CR (D),7 (15),1.101,-,-,-,-,-,-,648,611,-,-,-,-,-,0,"10,54","12,26"
player_112,DF/CR (D),22 (4),2.098,-,-,-,-,-,-,1.327,1.221,-,-,-,-,-,0,"9,87","20,2"
player_113,ME/MP (DC),2 (2),144,-,-,-,-,-,-,79,72,-,-,-,-,-,0,"16,88",10
player_114,DF/CR/ME (I),8 (10),836,-,-,-,-,-,-,454,379,-,-,-,-,-,0,"9,8","15,72"
player_115,"DF (DC), MC",21 (2),1.864,-,-,-,-,-,-,1.370,1.291,-,-,-,-,-,0,"16,17","4,83"
player_116,DF/CR/ME/MP (D),43,2.880,-,-,-,-,-,-,1.332,1.140,-,-,-,-,-,0,"10,09","18,12"
player_117,DF (C),30 (3),2.677,-,-,-,-,-,-,2.038,1.888,-,-,-,-,-,0,"15,06","3,19"
player_118,"DF (C), MC",37,3.172,-,-,-,-,-,-,2.312,2.058,-,-,-,-,-,1,"16,29","2,7"
player_119,"DF (C), MC, ME (C)",12 (18),1.417,-,-,-,-,-,-,897,802,-,-,-,-,-,0,"11,62","9,59"
player_120,DF/CR (I),34,2.999,-,-,-,-,-,-,1.664,1.502,-,-,-,-,-,0,"12,96","10,98"
player_121,DL (C),15 (13),1.653,-,-,-,-,-,-,383,321,-,-,-,-,-,0,"1,63","19,82"
player_122,POR,39,3.510,40,"10,63",25,19,72%,57,1.281,1.175,13,88%,2,1,33%,1,"3,92","6,05"
player_123,"ME (IC), MP (DIC)",7 (27),1.238,-,-,-,-,-,-,496,425,-,-,-,-,-,0,"9,6","15,99"
player_124,POR,37,3.218,46,"4,7",33,27,75%,75,918,716,8,88%,3,1,33%,1,"3,05","7,75"
player_125,"MC, ME (DIC)",16 (28),1.918,-,-,-,-,-,-,1.022,910,-,-,-,-,-,0,"13,19","13,75"
player_126,DF (C),27,2.141,-,-,-,-,-,-,1.423,1.319,-,-,-,-,-,1,"13,62","2,31"
player_127,ME/MP (DI),21 (18),1.832,-,-,-,-,-,-,710,605,-,-,-,-,-,0,"4,96","17,64"
player_128,DF (DC),42,3.581,-,-,-,-,-,-,2.742,2.595,-,-,-,-,-,0,"16,46","2,46"
player_129,DF (IC),32,2.707,-,-,-,-,-,-,1.869,1.665,-,-,-,-,-,0,"19,78","2,86"
player_130,"MC, ME (C)",3 (4),321,-,-,-,-,-,-,176,158,-,-,-,-,-,0,"13,18","14,86"
player_131,"MC, ME/MP (C)",33,2.786,-,-,-,-,-,-,1.577,1.413,-,-,-,-,-,0,"14,47","6,75"
player_132,DF (C),9 (10),1.209,-,-,-,-,-,-,809,712,-,-,-,-,-,0,"14,74","2,23"
player_133,ME/MP (C),28,2.003,-,-,-,-,-,-,1.028,859,-,-,-,-,-,0,"11,41","12,54"
player_134,DL (C),39 (2),3.409,-,-,-,-,-,-,756,641,-,-,-,-,-,0,"2,43","21,36"
player_135,POR,39 (1),3.346,48,"4,77",26,20,73%,86,1.197,953,10,88%,3,1,17%,2,"2,93","7,29"
player_136,"MC, ME (DC), MP (C)",30,2.432,-,-,-,-,-,-,1.346,1.220,-,-,-,-,-,0,"12,43","9,44"
player_137,MP (DI),13 (10),1.107,-,-,-,-,-,-,456,380,-,-,-,-,-,0,"4,39","18,05"
player_138,MP (DC),8 (21),1.121,-,-,-,-,-,-,405,349,-,-,-,-,-,0,"10,6","25,93"
player_139,POR,39,3.437,51,"-5,84",24,24,70%,72,887,587,10,89%,3,0,0%,1,"3,3","7,2"
player_140,DF (IC),23 (7),2.407,-,-,-,-,-,-,1.643,1.458,-,-,-,-,-,1,"12,49","9,87"
player_141,"ME (I), MP (DIC), DL (C)",35 (4),2.488,-,-,-,-,-,-,925,779,-,-,-,-,-,0,"2,86","21,13"
player_142,DL (C),36 (1),2.767,-,-,-,-,-,-,639,549,-,-,-,-,-,0,"2,21","18,05"
player_143,"MP (DIC), DL (C)",34 (1),2.544,-,-,-,-,-,-,774,649,-,-,-,-,-,0,"2,09","18,93"
player_144,DL (C),29 (2),2.226,-,-,-,-,-,-,563,483,-,-,-,-,-,0,"1,94","23,53"
player_145,"MP (DI), DL (C)",3 (17),515,-,-,-,-,-,-,130,112,-,-,-,-,-,0,"1,05","18,35"
player_146,DF (C),33,2.956,-,-,-,-,-,-,2.169,1.995,-,-,-,-,-,0,"13,88","3,62"
player_147,DF (C),17 (6),1.565,-,-,-,-,-,-,1.235,1.134,-,-,-,-,-,0,"15,87","3,68"
player_148,"DF/CR/ME (I), MP (DI)",23 (23),2.385,-,-,-,-,-,-,1.040,906,-,-,-,-,-,0,"9,85","16,64"
player_149,DF (C),36,3.179,-,-,-,-,-,-,2.236,2.079,-,-,-,-,-,0,"15,09","2,21"
player_150,ME/MP (IC),20 (4),1.441,-,-,-,-,-,-,544,426,-,-,-,-,-,0,"5,18","12,05"
player_151,DL (C),2 (23),669,-,-,-,-,-,-,173,149,-,-,-,-,-,0,"0,81","17,76"
player_152,"MP (I), DL (C)",38,2.835,-,-,-,-,-,-,742,653,-,-,-,-,-,0,"1,49","20,38"
player_153,DF (C),3 (8),613,-,-,-,-,-,-,487,456,-,-,-,-,-,0,"11,45","2,35"
player_154,DF/CR (D),32 (3),2.836,-,-,-,-,-,-,1.348,1.168,-,-,-,-,-,0,"9,77","12,92"
player_155,ME/MP (C),10 (22),1.502,-,-,-,-,-,-,811,712,-,-,-,-,-,0,"7,85","18,04"
player_156,"ME/MP (DI), DL (C)",45 (1),3.691,-,-,-,-,-,-,1.374,1.089,-,-,-,-,-,0,"4,85","14,83"
player_157,DF (C),2,180,-,-,-,-,-,-,125,114,-,-,-,-,-,0,"13,5",3
player_158,"MP (DI), DL (C)",24 (9),1.786,-,-,-,-,-,-,596,498,-,-,-,-,-,0,"4,08",19
player_159,"DF (C), MC, ME (C)",32 (2),2.640,-,-,-,-,-,-,1.595,1.411,-,-,-,-,-,0,"10,77","8,05"
player_160,DF (DC),33,2.333,-,-,-,-,-,-,1.569,1.450,-,-,-,-,-,0,"16,2","3,16"
player_161,DF/CR/ME/MP (I),41 (1),3.635,-,-,-,-,-,-,2.221,1.972,-,-,-,-,-,0,"11,79","14,73"
player_162,"MC, ME (C), MP (DIC)",16 (3),816,-,-,-,-,-,-,332,287,-,-,-,-,-,0,"10,15","15,77"
player_163,"DF (C), MC",40 (1),3.612,-,-,-,-,-,-,2.746,2.602,-,-,-,-,-,0,"15,02","3,01"
player_164,"MC, ME (C)",37,3.258,-,-,-,-,-,-,2.061,1.879,-,-,-,-,-,0,"12,73","7,79"
player_165,"MC, ME (C)",35,2.870,-,-,-,-,-,-,1.760,1.581,-,-,-,-,-,1,"13,39","8,22"
player_166,"ME (DIC), MP (DI), DL (C)",1 (4),111,-,-,-,-,-,-,55,46,-,-,-,-,-,0,"12,16","13,78"
player_167,"MC, ME (C)",37,2.855,-,-,-,-,-,-,1.595,1.416,-,-,-,-,-,0,"12,96","9,24"
player_168,"ME/MP (DI), DL (C)",26 (12),2.248,-,-,-,-,-,-,793,677,-,-,-,-,-,0,"3,32","19,26"
player_169,"MC, ME/MP (C)",1 (29),637,-,-,-,-,-,-,333,291,-,-,-,-,-,1,"10,17","11,16"
player_170,"ME/MP (D), DL (C)",2 (5),283,-,-,-,-,-,-,75,66,-,-,-,-,-,0,"1,27","22,9"
player_171,DF (C),35,2.693,-,-,-,-,-,-,2.052,1.934,-,-,-,-,-,1,"17,65","2,71"
player_172,"ME (C), MP (IC)",38 (1),2.792,-,-,-,-,-,-,1.070,911,-,-,-,-,-,0,"13,35","15,92"
player_173,"MC, ME (C)",32,2.487,-,-,-,-,-,-,1.319,1.162,-,-,-,-,-,0,"13,1","11,83"
player_174,MP (DI),4 (35),1.017,-,-,-,-,-,-,427,356,-,-,-,-,-,0,"3,1","20,44"
player_175,"ME (DC), MP (DIC)",25,1.769,-,-,-,-,-,-,754,635,-,-,-,-,-,0,"5,34","15,31"
player_176,DF (C),34,2.918,-,-,-,-,-,-,1.937,1.800,-,-,-,-,-,0,"17,09","2,81"
player_177,"DF (DC), CR/ME (D)",20 (1),1.757,-,-,-,-,-,-,961,837,-,-,-,-,-,0,"16,65","9,37"
player_178,DF (IC),40,3.573,-,-,-,-,-,-,2.555,2.352,-,-,-,-,-,0,"17,78","3,78"
player_179,POR,27 (2),2.373,28,"1,08",18,15,73%,44,612,400,11,88%,2,0,0%,1,"3,11","10,96"
player_180,"DF (DC), MC",20 (1),1.810,-,-,-,-,-,-,1.348,1.212,-,-,-,-,-,0,"12,68","4,52"
player_181,"CR (I), ME (DI), MP (DIC)",21 (1),1.474,-,-,-,-,-,-,547,472,-,-,-,-,-,0,"3,85","18,32"
player_182,POR,10 (4),1.039,18,"-0,75",14,2,65%,18,280,260,4,87%,2,0,-,0,"3,03","8,92"
player_183,DL (C),8 (23),1.201,-,-,-,-,-,-,335,287,-,-,-,-,-,0,"1,57","20,98"
player_184,"MC, ME (C)",35,2.883,-,-,-,-,-,-,1.779,1.616,-,-,-,-,-,0,"13,33","9,08"
player_185,ME/MP (C),35,2.794,-,-,-,-,-,-,1.423,1.243,-,-,-,-,-,0,"10,66","12,08"
player_186,"DF (DI), CR (D)",9 (3),899,-,-,-,-,-,-,460,393,-,-,-,-,-,0,"9,31","17,32"
player_187,DF (C),11,990,-,-,-,-,-,-,732,659,-,-,-,-,-,0,19,"2,36"
player_188,DF (C),38,3.450,-,-,-,-,-,-,2.555,2.370,-,-,-,-,-,0,"15,83","2,45"
player_189,"MP (DI), DL (C)",8 (13),1.054,-,-,-,-,-,-,317,272,-,-,-,-,-,0,"1,96","18,53"
player_190,"ME/MP (D), DL (C)",36,2.668,-,-,-,-,-,-,1.217,1.020,-,-,-,-,-,0,"3,98","9,88"
player_191,"DF (C), MC, ME (C)",46 (1),4.076,-,-,-,-,-,-,2.501,2.251,-,-,-,-,-,0,"11,95","9,91"
player_192,"ME (C), MP (DIC)",25 (6),1.795,-,-,-,-,-,-,747,628,-,-,-,-,-,0,"5,92","15,79"
player_193,POR,42,3.734,46,"13,11",40,30,77%,88,1.019,864,14,89%,3,0,0%,1,4,"7,42"
player_194,"ME (C), MP (DIC)",2 (15),373,-,-,-,-,-,-,140,117,-,-,-,-,-,0,"3,86","21,47"
player_195,ME/MP (DI),0 (3),60,-,-,-,-,-,-,32,29,-,-,-,-,-,0,-,-
player_196,POR,47,3.754,47,"-0,98",34,19,73%,69,1.348,1.072,15,88%,2,2,29%,0,"2,64","7,96"
player_197,DF/CR/ME (I),1 (5),317,-,-,-,-,-,-,180,161,-,-,-,-,-,0,"9,65","22,43"
player_198,"MP (D), DL (C)",1 (22),273,-,-,-,-,-,-,69,63,-,-,-,-,-,0,0,"17,47"
player_199,ME/MP (DIC),38 (1),2.886,-,-,-,-,-,-,1.225,1.045,-,-,-,-,-,0,"5,33","18,18"
player_200,POR,3 (8),695,11,"-2,24",6,5,66%,11,208,157,6,88%,2,0,0%,1,"3,76","9,58"
player_201,"ME/MP (I), DL (C)",41,2.892,-,-,-,-,-,-,798,682,-,-,-,-,-,0,"2,33","19,33"
player_202,DL (C),3 (23),623,-,-,-,-,-,-,147,122,-,-,-,-,-,0,"0,87","18,92"
player_203,"DF/CR (I), ME (IC)",14 (2),1.353,-,-,-,-,-,-,704,622,-,-,-,-,-,0,"10,58","14,97"
player_204,DF (IC),22 (4),1.910,-,-,-,-,-,-,1.113,996,-,-,-,-,-,0,"15,6","3,82"
player_205,DL (C),1 (22),470,-,-,-,-,-,-,115,104,-,-,-,-,-,0,"0,77","26,62"
player_206,DF/CR (I),9 (2),835,-,-,-,-,-,-,528,445,-,-,-,-,-,0,"14,23","12,07"
player_207,"DF (C), MC",31,2.749,-,-,-,-,-,-,2.050,1.929,-,-,-,-,-,0,"13,49","3,93"
player_208,"ME (DI), MP (DIC), DL (C)",13 (21),1.322,-,-,-,-,-,-,562,447,-,-,-,-,-,0,"3,4","15,93"
player_209,"MC, ME (DC), MP (DIC)",6 (18),797,-,-,-,-,-,-,428,371,-,-,-,-,-,0,"10,39","8,92"
player_210,"DF (DIC), CR/ME (D)",6 (17),762,-,-,-,-,-,-,466,408,-,-,-,-,-,0,"8,5","14,41"
player_211,"MC, ME (C)",30 (1),2.209,-,-,-,-,-,-,992,860,-,-,-,-,-,0,"8,35","13,08"
player_212,"ME (D), MP (DI), DL (C)",6 (22),761,-,-,-,-,-,-,297,257,-,-,-,-,-,0,"2,25","21,29"
player_213,"ME (C), MP (IC)",5 (14),702,-,-,-,-,-,-,331,298,-,-,-,-,-,0,"7,31","18,33"
player_214,DF (C),39,3.509,-,-,-,-,-,-,2.676,2.483,-,-,-,-,-,0,14,"2,87"
player_215,DF/CR/ME/MP (D),38 (8),3.203,-,-,-,-,-,-,1.726,1.453,-,-,-,-,-,0,"5,99","21,02"
player_216,DF/CR/ME (D),27,2.307,-,-,-,-,-,-,1.360,1.195,-,-,-,-,-,0,"10,34","12,68"
player_217,"MC, ME (C)",12 (31),1.594,-,-,-,-,-,-,1.020,931,-,-,-,-,-,0,"12,25","7,51"
player_218,POR,35,3.210,38,"4,52",19,26,74%,65,1.028,917,9,89%,3,1,33%,0,"4,35","6,9"
player_219,DF (C),35,3.071,-,-,-,-,-,-,1.998,1.782,-,-,-,-,-,0,"11,78","3,31"
player_220,DL (C),34 (4),2.837,-,-,-,-,-,-,681,582,-,-,-,-,-,0,"2,41","15,89"
