Club,División,Juega en
Leonesa,Primera Division Federacion A espanola,ESP
Elche,Segunda Division espanola,ESP
Ursaria,Segunda Division Federacion Grupo 5 espanola,ESP
Torrent,Segunda Division Federacion Grupo 3 espanola,ESP
A. Bilbao,Primera Division espanola,ESP
Sestao,Primera Division Federacion A espanola,ESP
Eibar,Segunda Division espanola,ESP
Formentera,Segunda Division Federacion Grupo 3 espanola,ESP
Real Irun,Primera Division Federacion A espanola,ESP
Gernika,Segunda Division Federacion Grupo 2 espanola,ESP
Real San Sebastian C,Segunda Division Federacion Grupo 2 espanola,ESP
Espanyol,Segunda Division espanola,ESP
R. Madrid,Primera Division espanola,ESP
Antoniano,Segunda Division Federacion Grupo 4 espanola,ESP
Navalcarnero,Segunda Division Federacion Grupo 5 espanola,ESP
Zaragoza,Segunda Division espanola,ESP
Villanovense,Segunda Division Federacion Grupo 5 espanola,ESP
Alcoyano,Primera Division Federacion B espanola,ESP
Lleida,Segunda Division Federacion Grupo 3 espanola,ESP
Atletico Pamplona B,Primera Division Federacion A espanola,ESP
La Union At.,Segunda Division Federacion Grupo 4 espanola,ESP
Zamora,Segunda Division Federacion Grupo 1 espanola,ESP
Tarazona,Primera Division Federacion A espanola,ESP
Lugo,Primera Division Federacion A espanola,ESP
Ceuta,Primera Division Federacion B espanola,ESP
Teruel,Primera Division Federacion A espanola,ESP
Albacete,Segunda Division espanola,ESP
Vigo,Primera Division espanola,ESP
Atletico Pamplona,Primera Division espanola,ESP
Barakaldo,Segunda Division Federacion Grupo 2 espanola,ESP
San Roque de Lepe,Segunda Division Federacion Grupo 4 espanola,ESP
Naxara,Segunda Division Federacion Grupo 2 espanola,ESP
Mutilvera,Segunda Division Federacion Grupo 2 espanola,ESP
Oviedo,Segunda Division espanola,ESP
Villarreal,Primera Division espanola,ESP
Sant Andreu,Segunda Division Federacion Grupo 3 espanola,ESP
Langreo,Segunda Division Federacion Grupo 1 espanola,ESP
Cartagena,Segunda Division espanola,ESP
Barcelona B,Primera Division Federacion A espanola,ESP
A. Baleares,Primera Division Federacion B espanola,ESP
Melilla,Primera Division Federacion B espanola,ESP
Numantia,Segunda Division Federacion Grupo 5 espanola,ESP
Fuenlabrada,Primera Division Federacion A espanola,ESP
Barcelona,Primera Division espanola,ESP
Cornella,Primera Division Federacion A espanola,ESP
Antequera,Primera Division Federacion B espanola,ESP
F.C. Andorra,Segunda Division espanola,ESP
Guijuelo,Segunda Division Federacion Grupo 1 espanola,ESP
Coruxo,Segunda Division Federacion Grupo 1 espanola,ESP
Aviles,Segunda Division Federacion Grupo 1 espanola,ESP
Tudelano,Segunda Division Federacion Grupo 2 espanola,ESP
Coruna B,Segunda Division Federacion Grupo 1 espanola,ESP
Izarra,Segunda Division Federacion Grupo 2 espanola,ESP
Huelva,Primera Division Federacion B espanola,ESP
Cadiz,Primera Division espanola,ESP
Real Hispalis B,Segunda Division Federacion Grupo 4 espanola,ESP
R. Santander,Segunda Division espanola,ESP
Getafe,Primera Division espanola,ESP
Orihuela,Segunda Division Federacion Grupo 4 espanola,ESP
Tenerife,Segunda Division espanola,ESP
Badajoz,Segunda Division Federacion Grupo 5 espanola,ESP
Girona,Primera Division espanola,ESP
R. Madrid B,Primera Division Federacion B espanola,ESP
U.D. San Fernando,Segunda Division Federacion Grupo 5 espanola,ESP
Terrassa,Segunda Division Federacion Grupo 3 espanola,ESP
Pontevedra,Segunda Division Federacion Grupo 1 espanola,ESP
Sanluqueno,Primera Division Federacion B espanola,ESP
Ferrol,Segunda Division espanola,ESP
Racing Cartagena,Segunda Division Federacion Grupo 4 espanola,ESP
Espanyol B,Segunda Division Federacion Grupo 3 espanola,ESP
Villalbes,Segunda Division Federacion Grupo 1 espanola,ESP
Cerdanyola,Segunda Division Federacion Grupo 3 espanola,ESP
Manresa,Segunda Division Federacion Grupo 3 espanola,ESP
Burgos,Segunda Division espanola,ESP
Vigo B,Primera Division Federacion A espanola,ESP
A. Getxo,Segunda Division Federacion Grupo 2 espanola,ESP
Atletico Paso,Segunda Division Federacion Grupo 5 espanola,ESP
San Fernando,Primera Division Federacion B espanola,ESP
Yeclano,Segunda Division Federacion Grupo 4 espanola,ESP
Ciudad Real,Segunda Division Federacion Grupo 4 espanola,ESP
Europa,Segunda Division Federacion Grupo 3 espanola,ESP
Logrones,Segunda Division Federacion Grupo 2 espanola,ESP
Valencia,Primera Division espanola,ESP
Brea,Segunda Division Federacion Grupo 2 espanola,ESP
Cayon,Segunda Division Federacion Grupo 1 espanola,ESP
A. Madrid B,Primera Division Federacion B espanola,ESP
U. Murcia,Segunda Division Federacion Grupo 4 espanola,ESP
Granada,Primera Division espanola,ESP
Villarreal B,Segunda Division espanola,ESP
Ibiza,Primera Division Federacion B espanola,ESP
Marbella,Segunda Division Federacion Grupo 4 espanola,ESP
Tarragona,Primera Division Federacion A espanola,ESP
Llerenense,Segunda Division Federacion Grupo 5 espanola,ESP
Utebo,Segunda Division Federacion Grupo 2 espanola,ESP
Sta. Eulalia,Segunda Division Federacion Grupo 3 espanola,ESP
Cadiz B,Segunda Division Federacion Grupo 4 espanola,ESP
El Palo,Segunda Division Federacion Grupo 4 espanola,ESP
S.D. Logrones,Primera Division Federacion A espanola,ESP
Ourense C.F.,Segunda Division Federacion Grupo 1 espanola,ESP
Linares,Primera Division Federacion B espanola,ESP
S. Gijon,Segunda Division espanola,ESP
Illescas,Segunda Division Federacion Grupo 5 espanola,ESP
Compostela,Segunda Division Federacion Grupo 1 espanola,ESP
Almeria,Primera Division espanola,ESP
Mallorca,Primera Division espanola,ESP
Real San Sebastian B,Primera Division Federacion A espanola,ESP
Egues,Segunda Division Federacion Grupo 2 espanola,ESP
Valladolid,Segunda Division espanola,ESP
Sanse,Segunda Division Federacion Grupo 5 espanola,ESP
Sevilla B,Segunda Division Federacion Grupo 4 espanola,ESP
Real San Sebastian,Primera Division espanola,ESP
Badalona Fut,Segunda Division Federacion Grupo 3 espanola,ESP
Amorebieta,Segunda Division espanola,ESP
Barbastro,Segunda Division Federacion Grupo 2 espanola,ESP
R. Santander B,Segunda Division Federacion Grupo 1 espanola,ESP
Calahorra,Segunda Division Federacion Grupo 2 espanola,ESP
A. Madrid,Primera Division espanola,ESP
Cacereno,Segunda Division Federacion Grupo 5 espanola,ESP
G. Torrelavega,Segunda Division Federacion Grupo 1 espanola,ESP
Penya Independent,Segunda Division Federacion Grupo 3 espanola,ESP
Arenteiro,Primera Division Federacion A espanola,ESP
Valladolid B,Segunda Division Federacion Grupo 1 espanola,ESP
nan,nan,nan
