Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,FC,FR,Ama,Roj.,Rob,Pos Gan/90,Pos Perd/90,Disparos,TaP,Disparos fuera área/90,Gol,Goles fuera del área,xG,xG- SP,Cab Int,Cen.In,Cab,Cen.Com,Cen I-Ab,Cen C-Ab,Fdj,GlEq
player_19,DL (C),40 (2),3.089,808,694,30,30,4,"4,75",13,39,237,46,"424,8 km","7,81",59,83,4,0,39,"2,39","19,35",127,62,"1,25",22,8,"16,01","16,01",248,16,114,0,16,0,22,60
player_20,"ME (D), MP (DI), DL (C)",50,3.566,1.468,1.264,119,67,3,"5,35",8,110,512,141,"491,1 km","13,22",44,66,1,0,64,"5,02","16,05",126,48,"0,88",14,5,"12,77","12,77",198,115,69,17,115,17,20,73
player_21,DF (C),49,4.268,3.106,2.931,214,12,3,"2,55",2,12,149,54,"543,4 km","5,19",27,14,3,1,91,"17,19","2,26",11,1,"0,06",0,0,"1,65","1,65",310,6,188,3,6,3,1,82
player_22,"MC, ME (DIC)",39 (2),3.176,1.864,1.673,151,70,6,"6,17",13,42,357,113,"440,0 km","11,9",45,23,5,1,59,"13,29","12,02",30,9,"0,37",0,2,"2,52","2,52",112,82,38,11,43,5,11,60
player_23,DF/CR/ME/MP (I),34,3.046,1.859,1.683,223,72,5,"3,86",10,70,309,78,"416,7 km","13,5",41,53,4,0,74,"15,36","10,16",15,8,"0,09",1,0,"1,89","1,89",128,233,46,35,73,13,3,44
player_24,DF (C),4,360,267,258,18,0,0,0,1,2,11,3,"43,0 km","4,75",3,1,1,0,11,"17,75",2,2,0,"0,25",0,0,"0,14","0,14",25,1,20,1,1,1,0,10
player_25,ME/MP (DC),38 (2),2.977,1.551,1.378,122,57,8,"10,47",9,62,373,108,"415,7 km","10,64",50,21,9,2,47,"13,24","14,27",51,26,"0,42",4,2,"4,86","4,86",80,102,29,21,38,11,2,55
player_26,DF/CR (D),32 (3),2.623,1.811,1.679,214,17,5,"3,37",2,71,249,62,"372,0 km","14,07",46,26,2,0,86,"13,86","16,85",10,1,"0,1",1,0,"0,9","0,9",139,33,100,10,33,10,0,57
player_27,"DF (DC), CR (D)",15 (6),1.504,1.160,1.091,113,8,2,"1,08",2,13,59,16,"196,7 km","8,08",12,8,0,0,36,"18,25","4,85",10,4,"0,24",0,0,"0,7","0,7",100,4,63,1,4,1,0,32
player_28,"MP (DIC), DL (C)",34 (2),2.566,913,801,58,33,2,"3,76",7,54,279,67,"343,3 km","11,57",37,54,0,0,32,"5,65","13,15",88,40,"1,09",7,2,"8,68","7,87",213,95,73,15,51,12,18,38
player_29,"MP (DC), DL (C)",41 (3),3.208,847,724,42,38,4,"2,98",2,27,255,65,"430,1 km","7,15",24,85,0,0,30,"2,22","14,87",137,70,"0,9",18,4,"17,42","16,61",251,19,107,4,19,4,18,51
player_30,"ME (D), MP (DI)",35,2.641,1.123,952,74,40,1,"4,9",11,111,369,117,"373,7 km","16,15",48,42,2,0,48,"6,1","16,8",82,36,"0,99",8,3,"8,12","8,12",111,248,24,44,63,14,16,62
player_31,"MC, ME (C)",40 (1),3.024,1.883,1.688,158,37,6,"4,51",10,21,327,103,"441,3 km","12,38",41,32,7,0,43,"14,23","5,12",10,2,"0,09",0,0,"3,06","3,06",156,16,76,3,16,3,1,39
player_32,"ME (DI), MP (DIC), DL (C)",29,2.485,789,668,50,32,5,"4,21",3,57,271,67,"347,2 km","11,19",37,62,1,0,35,"3,55","13,04",62,32,"0,83",8,2,"7,01","7,01",185,44,81,4,44,4,13,34
player_33,DF/CR/ME/MP (I),42 (1),3.657,2.219,1.949,315,40,2,"2,38",9,118,399,117,"515,3 km","15,36",46,65,2,1,116,"12,23","14,42",20,5,"0,17",3,0,"3,4","3,4",131,50,54,9,50,9,6,73
player_34,DF/CR (I),33 (9),3.176,2.024,1.744,203,22,3,"2,71",6,61,307,104,"448,3 km","14,76",38,32,5,0,79,"12,81","14,4",7,3,"0,09",1,1,"0,48","0,48",172,71,117,16,71,16,4,74
player_35,"DF (IC), CR (I)",36,2.926,1.851,1.649,196,32,3,"3,9",8,53,295,82,"416,4 km","16,03",38,45,7,0,86,"14,06","10,89",7,3,"0,06",2,0,"0,5","0,5",137,63,87,11,63,11,2,42
player_36,"MP (DIC), DL (C)",16 (26),1.538,503,439,45,23,4,"3,37",4,48,181,50,"209,4 km","11,64",29,32,5,0,19,"4,68","14,75",55,23,"0,99",3,3,"4,81","4,81",92,31,26,3,31,3,5,24
player_37,"MC, ME (C)",1 (36),789,466,414,48,20,0,"1,55",1,6,91,24,"108,3 km","11,75",10,4,2,0,6,"11,52","6,05",4,1,0,1,0,"0,21","0,21",22,268,7,49,6,0,1,11
player_38,DF/CR/ME (D),43 (1),3.480,1.725,1.480,148,55,4,"2,56",5,96,482,133,"512,3 km","17,51",63,40,5,1,130,"11,95","16,5",9,0,"0,05",0,0,"1,3","1,3",129,249,71,31,249,31,12,65
player_39,"MC, ME (C)",10 (28),1.355,844,773,82,16,1,"1,75",6,13,156,37,"191,9 km","12,75",19,11,2,0,19,"16,74","6,84",21,9,"0,46",2,1,"1,5","1,5",70,9,41,4,9,4,1,26
player_40,"ME (I), MP (IC), DL (C)",9 (19),1.041,242,212,8,6,0,"0,33",1,18,84,13,"139,7 km",7,6,47,0,0,10,"1,3","19,02",53,27,"1,12",7,1,"6,33","6,33",77,6,9,1,6,1,3,18
player_41,"ME (C), MP (IC)",18 (25),1.960,1.141,1.030,78,27,1,"4,61",5,31,228,67,"283,6 km","13,55",28,16,7,0,30,"13,87","11,94",32,19,"0,28",9,1,"2,86","2,86",55,33,19,7,21,6,3,36
player_42,DF (DIC),45 (1),4.079,3.033,2.814,247,34,5,"4,13",10,25,245,96,"555,4 km","10,55",33,22,4,0,101,"13,15","11,98",9,3,"0,09",0,0,"1,27","1,27",213,45,138,9,45,9,3,88
player_43,DF (C),32 (1),2.702,2.098,1.981,111,21,5,"2,09",5,7,95,38,"354,1 km","6,43",28,13,14,0,51,"18,29","2,23",23,4,"0,2",0,0,"3,4","3,4",193,7,140,1,7,1,0,39
player_44,"ME/MP (DI), DL (C)",39 (2),3.096,803,683,33,29,2,"2,17",2,44,260,69,"416,0 km","7,76",37,101,1,0,29,"2,03","15,58",114,57,"1,1",16,2,"14,3","13,49",212,18,85,4,18,4,18,40
player_45,POR,35,3.035,978,861,0,4,0,0,0,0,0,0,"216,2 km",0,0,18,0,0,0,"4,42","4,98",0,-,-,0,-,0,0,-,-,-,-,-,-,0,43
player_46,"DF (DC), MC",41 (1),3.486,2.421,2.214,292,33,0,"3,03",5,74,312,94,"485,6 km","13,58",47,52,6,2,94,"13,92","12,57",28,3,"0,23",1,0,"2,6","2,6",233,51,151,6,51,6,0,64
player_47,DF (C),35,2.714,2.101,1.970,122,9,0,"1,05",3,4,88,36,"350,6 km","6,17",24,6,7,0,60,"16,65","3,45",14,4,"0,13",1,0,"1,62","1,62",206,10,150,0,10,0,1,47
player_48,"ME (C), MP (DC)",47,3.114,1.245,1.059,70,50,12,"8,46",17,75,393,76,"467,0 km","13,27",18,26,2,0,71,"12,49","18,44",74,27,"0,69",5,0,"8,57","8,57",137,19,22,2,19,2,1,76
player_49,"CR (D), MC, ME (DC), MP (C)",39 (2),3.118,1.897,1.713,154,33,2,"3,35",6,25,357,97,"460,0 km","13,71",62,22,10,2,70,"13,13","8,49",24,6,"0,2",2,1,"2,6","2,6",92,41,56,3,41,3,4,55
player_50,"ME (C), MP (DC)",40 (1),3.298,1.576,1.330,126,113,8,"5,24",15,84,503,146,"451,8 km","15,64",37,47,0,0,56,"5,92","16,89",84,29,"0,52",7,1,"11,21","11,21",139,221,51,44,107,21,19,50
player_51,DL (C),37 (1),3.250,744,659,23,21,3,"3,69",4,29,264,54,"426,4 km","7,23",43,77,2,0,28,"2,44","18,3",128,70,1,16,4,"14,91","14,91",337,20,196,3,20,3,27,47
player_52,DF (C),40,3.321,2.561,2.409,150,11,2,"0,67",2,5,100,38,"431,2 km","6,26",16,15,1,0,84,"16,31","2,33",9,4,"0,16",1,0,"0,61","0,61",254,7,183,0,7,0,1,49
player_53,"ME (D), MP (DIC), DL (C)",39,2.954,1.325,1.079,164,39,9,"11,09",14,120,412,105,"423,2 km","15,9",43,53,1,0,67,"5,58","11,61",49,14,"0,49",0,1,"5,44","5,44",114,70,26,9,65,8,5,54
player_54,"MC, ME (C)",36 (1),2.704,1.578,1.415,112,42,2,"2,6",7,17,339,86,"381,0 km","12,22",30,28,5,1,46,"14,15","8,45",22,11,"0,27",1,0,"2,31","2,31",114,27,54,4,27,4,2,40
player_55,DF/CR/ME (I),36,2.907,1.647,1.412,166,58,5,"5,07",11,62,425,99,"409,4 km","17,12",45,36,9,0,95,"12,94","11,98",3,0,0,0,0,"0,68","0,68",92,429,28,79,213,37,5,36
player_56,"MP (DC), DL (C)",37,2.384,885,750,62,84,7,"5,21",6,39,293,63,"347,1 km","11,55",34,31,3,0,49,"11,02","17,48",57,18,"0,87",2,1,"6,26","6,26",121,50,22,4,21,2,7,28
player_57,DL (C),29,2.379,585,488,19,17,6,"2,25",1,32,187,34,"310,1 km","6,58",32,68,1,0,31,"2,12","15,96",83,36,"0,87",10,3,"8,63","8,63",198,11,93,2,11,2,22,34
player_58,ME/MP (DIC),42,2.931,1.366,1.202,97,51,8,"9,22",17,59,366,80,"398,8 km","11,94",32,36,1,0,56,"10,19","14,16",39,19,"0,28",7,1,"5,9","5,9",89,224,24,35,32,5,4,34
player_59,DF/CR/ME/MP (D),31,2.707,1.702,1.567,225,21,4,"3,38",6,59,276,74,"387,1 km","14,93",28,48,2,0,85,"12,27","10,57",18,3,"0,17",3,0,"2,27","2,27",112,52,49,7,40,5,0,39
player_60,"CR (I), ME/MP (IC)",29 (13),2.226,1.303,1.116,146,121,4,"2,57",8,69,321,87,"323,7 km","15,57",28,36,0,0,58,"10,07","15,4",9,1,"0,04",0,0,"0,94","0,94",59,340,11,64,107,16,5,37
player_61,"MP (DIC), DL (C)",12,717,182,144,7,12,0,"1,2",1,9,53,8,"84,1 km","4,52",13,18,0,0,4,"2,26","13,81",31,16,"0,88",1,3,"3,12","3,12",58,72,17,7,6,1,6,9
player_62,"ME (C), MP (DIC), DL (C)",33,2.618,671,563,34,30,2,"2,73",6,29,209,49,"343,6 km","6,43",50,83,3,1,25,"2,44","14,92",85,41,"0,83",16,3,"8,43","8,43",198,13,43,4,13,4,15,47
player_63,ME/MP (C),2 (19),543,259,221,22,8,2,"0,78",3,8,71,14,"79,1 km","12,43",6,4,1,0,6,"12,6","10,77",9,1,"0,17",0,0,"1,07","1,07",18,5,3,0,5,0,1,8
player_64,"DF (C), MC, ME (C)",38 (6),3.161,2.207,2.022,168,25,6,"4,16",5,9,198,70,"414,1 km","7,32",41,13,6,2,52,"15,15","4,21",14,2,"0,09",0,1,"2,49","2,49",157,16,95,4,16,4,1,53
player_65,"ME (D), MP (DIC), DL (C)",13 (7),1.034,264,231,12,10,1,"1,3",1,15,86,21,"139,0 km","6,62",13,26,3,0,8,"1,74","19,93",55,25,"0,78",7,0,"7,05","7,05",79,9,19,3,9,3,10,10
player_66,POR,43 (1),3.831,1.398,1.234,0,0,0,0,0,0,0,0,"275,9 km",0,0,11,0,1,0,"3,64","10,01",0,-,-,0,-,0,0,-,-,-,-,-,-,0,84
player_67,"DF (C), MC",37,3.330,2.572,2.409,164,10,2,"1,56",2,5,122,49,"419,5 km","5,89",22,15,4,0,75,"16,89","2,43",14,7,"0,14",2,1,"1,15","1,15",209,6,139,0,6,0,1,47
player_68,"DF (C), MC",35,3.114,2.416,2.251,183,8,1,"1,38",2,12,106,42,"402,5 km","6,79",22,14,7,0,74,"16,76","2,17",17,5,"0,09",0,0,"1,47","1,47",239,9,167,3,9,3,0,46
player_69,"DF/CR (D), MC, ME (DC)",47,4.028,2.751,2.409,357,48,7,"5,25",8,64,414,119,"579,2 km","13,85",48,41,6,1,89,"10,93","16,62",17,2,"0,11",0,1,"1,51","1,51",164,74,62,12,74,12,5,78
player_70,DF (C),14 (5),1.291,981,920,56,2,0,"0,26",0,1,52,18,"157,5 km","4,88",11,1,4,0,27,"13,73","4,6",5,1,0,0,0,"0,46","0,46",86,3,49,2,3,2,0,15
player_71,"DF (IC), CR (I)",4 (3),489,378,352,27,0,0,"0,29",0,1,16,4,"61,9 km","5,71",6,3,0,0,7,"13,25","2,76",2,0,"0,18",0,0,"0,15","0,15",30,0,15,0,0,0,2,8
player_72,DL (C),24 (18),2.389,590,501,22,20,1,"1,36",4,19,180,34,"307,9 km","6,33",41,51,2,1,29,"1,62","16,46",134,69,"1,47",18,3,"14,04","14,04",194,6,104,3,6,3,11,45
player_73,"DF (IC), CR (I), MC",34 (3),2.744,1.744,1.596,163,31,11,"8,13",12,23,287,84,"393,5 km","12,14",42,23,5,0,49,"13,71","6,82",6,0,"0,1",0,0,"0,61","0,61",121,14,71,3,14,3,0,42
player_74,"ME/MP (DI), DL (C)",37 (7),2.759,1.007,849,76,37,4,"3,3",5,94,362,105,"367,5 km","12,72",40,46,4,0,60,"3,85","17,29",57,22,"0,62",6,3,"8,04","7,23",102,78,23,10,78,10,13,36
player_75,DF (C),42,3.493,2.600,2.431,156,10,4,"2,6",7,4,109,42,"431,4 km","5,72",25,6,5,1,78,"16,13","3,35",13,1,"0,05",0,0,"1,25","1,25",252,8,179,1,8,1,1,60
player_76,POR,35,3.147,1.116,1.017,0,0,0,0,0,0,0,0,"214,5 km",0,0,26,0,0,0,"4,46","4,69",0,-,-,0,-,0,0,-,-,-,-,-,-,0,45
player_77,"MC, ME (DC)",37,3.015,1.697,1.493,119,40,7,"9,66",18,42,354,122,"414,4 km","12,3",55,24,5,0,37,"13,43","12,15",36,15,"0,36",4,0,"3,04","3,04",130,32,56,6,32,6,6,46
player_78,"MP (DI), DL (C)",32,2.425,836,715,75,52,3,"4,28",9,91,333,106,"317,1 km","12,51",24,49,2,0,37,"4,05","16,11",55,22,"0,63",8,1,"5,71","5,71",106,80,16,12,75,11,6,37
player_79,"ME/MP (DC), DL (C)",17 (16),1.666,865,788,78,24,0,"5,23",4,44,211,54,"233,9 km","11,45",12,10,2,0,31,"11,45","10,32",35,19,"0,43",4,0,"4,02","4,02",51,60,16,6,15,1,0,22
player_80,POR,5 (1),480,177,120,0,0,0,0,0,0,0,0,"33,8 km",0,0,1,0,0,0,"4,31","7,5",0,-,-,0,-,0,0,-,-,-,-,-,-,0,14
player_81,"DF (C), MC",36,3.158,2.354,2.199,127,12,3,"1,59",1,10,130,39,"401,9 km","5,81",18,21,6,0,68,"15,73","2,02",26,4,"0,28",1,1,"2,93","2,93",159,6,109,2,6,2,1,44
player_82,"MP (DIC), DL (C)",35 (1),2.755,684,585,23,20,4,"4,5",4,32,225,66,"357,3 km","6,44",40,55,1,0,26,"2,74","15,32",143,77,"1,24",14,3,"18,8","18,8",213,15,43,1,15,1,21,48
player_83,DF (C),24,2.114,1.399,1.255,112,6,0,"0,19",0,1,74,35,"264,0 km","5,79",18,9,6,0,44,"14,18","4,34",7,1,"0,13",1,0,"0,47","0,47",173,5,133,0,5,0,0,25
player_84,DF (C),10 (5),941,633,577,47,4,1,"0,54",0,3,36,18,"117,2 km","4,5",13,3,3,0,17,"13,58","3,44",4,1,0,1,0,"0,47","0,47",68,2,51,0,2,0,0,18
player_85,"MP (DI), DL (C)",32 (1),2.767,1.072,907,79,31,1,"3,22",7,91,409,97,"396,7 km","15,58",51,40,1,0,51,"3,81","19,58",61,21,"0,78",9,2,"4,86","4,86",133,87,32,18,87,18,20,29
player_86,"MC, ME (C)",28 (1),2.380,1.227,1.097,99,33,4,"2,55",2,21,300,61,"328,2 km","11,91",37,17,6,1,47,"12,03","11,23",22,6,"0,19",5,1,"3,15","3,15",64,17,42,5,17,5,2,36
player_87,"DF (C), MC, ME (C)",38,3.064,2.112,1.940,165,31,1,"4,16",8,12,255,76,"431,3 km","10,08",48,18,6,0,64,"12,1","5,87",14,1,"0,09",1,0,"2,4","2,4",129,8,79,2,8,2,0,39
player_88,DF/CR/ME/MP (D),3 (3),439,274,259,35,2,0,0,0,5,36,12,"68,1 km","16,2",8,5,1,0,9,"13,12","18,66",1,0,0,0,0,"0,15","0,15",20,9,8,1,9,1,0,11
player_89,"DF (IC), CR/ME (I)",6 (9),736,408,371,55,8,0,"0,41",0,12,63,26,"101,4 km","14,43",14,6,0,0,23,"11,13","17,24",5,3,"0,37",2,2,"0,34","0,34",25,58,15,11,17,4,1,12
player_90,DL (C),11 (30),1.406,357,296,10,11,1,"1,06",2,9,128,22,"180,7 km","6,66",15,16,2,0,12,"1,47","23,75",62,29,"1,41",7,2,"7,03","7,03",127,13,53,3,13,3,8,22
player_91,DL (C),27 (5),2.375,551,471,12,6,1,"2,95",6,29,187,41,"304,7 km","6,63",36,58,2,0,26,"2,16","20,31",91,39,"1,17",13,0,"8,46","8,46",201,9,79,1,9,1,22,34
player_92,"MP (C), DL (C)",38,2.736,652,573,25,24,1,"1,35",3,50,214,41,"348,6 km","5,76",35,79,7,0,39,"1,58","21,45",103,45,"1,15",9,4,"11,91","11,91",197,5,56,0,5,0,19,23
player_93,DF (C),1 (1),58,46,44,2,0,0,0,0,0,3,2,"6,5 km",-,0,0,0,0,0,-,-,0,-,-,0,0,0,0,4,0,2,0,0,0,0,0
player_94,"MC, ME (DC)",31 (1),2.368,1.234,1.067,73,19,1,"1,36",6,25,292,66,"333,6 km","12,96",36,9,1,0,53,"12,62","12,58",14,4,"0,11",1,0,"1,37","1,37",83,18,39,3,18,3,2,39
player_95,DL (C),29,2.459,654,556,25,18,2,"3,05",4,24,195,48,"326,8 km","7,1",25,72,2,0,21,"2,09","20,02",99,50,"0,99",7,3,"13,78","11,35",247,9,124,2,9,2,11,20
player_96,ME/MP (IC),6 (9),651,257,215,25,12,3,"3,55",3,11,13,34,"79,3 km","14,24",4,9,0,0,10,"8,57","11,47",4,0,"0,14",0,0,"0,16","0,16",29,18,11,3,18,3,1,13
player_97,DF/CR/ME (I),34 (1),2.948,1.785,1.555,242,28,0,"1,93",1,79,303,70,"434,2 km","15,69",50,41,5,0,87,"10,75","14,87",4,1,0,0,0,"0,31","0,31",126,61,83,10,41,8,0,35
player_98,DF (IC),44 (1),3.912,2.957,2.690,174,10,3,"1,78",2,11,112,43,"501,3 km","5,73",36,18,9,1,88,"15,99","3,77",12,3,"0,14",2,0,"1,05","1,05",242,9,168,0,9,0,1,69
player_99,"DF (DIC), CR (DI)",7 (21),1.040,592,540,46,10,0,"1,4",2,22,117,31,"149,4 km","14,97",21,15,3,0,19,"10,9","12,38",1,0,0,0,0,"0,02","0,02",46,58,21,5,58,5,1,15
player_100,"ME (IC), MP (DIC)",28,2.100,916,807,70,59,1,"3,49",7,56,273,93,"308,1 km","14,19",23,21,0,0,39,"7,16","19,67",52,18,"0,51",7,0,"6,35","6,35",93,203,15,45,45,9,4,30
player_101,DF/CR (D),22 (1),1.835,1.233,1.107,134,25,3,"4,4",4,37,192,51,"260,3 km","15,11",21,23,1,0,52,"11,82","12,02",6,2,0,1,0,"1,43","1,43",80,31,36,6,31,6,3,30
player_102,ME/MP (DI),16 (11),1.558,638,544,68,52,2,"2,24",3,51,213,67,"209,8 km","13,23",11,22,1,0,28,"4,16","16,87",42,9,"0,58",2,0,"5,51","5,51",60,82,23,10,52,5,5,17
player_103,"DF (DIC), CR (D)",31,2.634,1.801,1.644,193,19,2,"2,7",7,24,215,63,"354,9 km","12,47",22,24,1,1,88,"12,4","9,6",20,2,"0,21",0,1,"1,77","1,77",152,35,112,2,35,2,1,27
player_104,"ME (D), MP (DIC), DL (C)",12,963,249,206,7,9,3,"2,77",5,12,74,20,"130,2 km","7,29",16,22,0,0,9,"2,34","18,22",34,14,"0,56",4,0,"4,31","4,31",70,5,22,0,5,0,9,10
player_105,DF/CR (D),32 (1),2.548,1.820,1.644,196,25,2,"2,12",3,52,236,67,"370,3 km","15,01",40,32,4,0,70,"10,46","18,54",8,0,"0,11",0,0,"0,72","0,72",107,55,61,11,55,11,1,31
player_106,DF/CR (I),29,2.381,1.441,1.291,173,35,1,"1,81",9,28,232,76,"308,3 km","12,93",43,15,9,1,67,"11,91","15,5",6,3,"0,04",0,0,"0,47","0,47",151,64,99,9,57,8,1,31
player_107,DL (C),3 (19),591,138,117,3,3,2,"0,94",2,5,41,8,"71,9 km","5,79",12,18,0,0,4,"1,07","18,27",35,15,"1,68",5,2,"4,22","4,22",52,4,14,1,4,1,2,10
player_108,DF (DIC),19 (11),1.918,1.377,1.271,124,15,2,"0,43",3,8,104,36,"247,5 km","8,63",28,14,6,0,46,"15,25","5,72",2,0,0,0,0,"0,59","0,59",124,12,83,2,12,2,0,27
player_109,"MC, ME (C)",34 (4),2.763,1.562,1.358,102,37,5,"6,49",9,45,332,80,"379,1 km","12,31",31,25,2,0,50,"10,42","15,96",19,6,"0,23",2,0,"2,06","2,06",93,20,36,4,20,4,2,33
player_110,POR,35,3.143,1.013,677,0,0,0,0,0,0,0,0,"207,6 km",0,0,17,0,0,0,"4,21","8,22",0,-,-,0,-,0,0,-,-,-,-,-,-,0,36
player_111,DF/CR (D),7 (15),1.101,648,611,75,10,1,"0,8",2,19,99,21,"151,0 km","13,98",10,22,0,0,24,"10,54","12,26",9,2,"0,08",0,0,"0,9","0,9",46,12,23,0,12,0,1,10
player_112,DF/CR (D),22 (4),2.098,1.327,1.221,150,21,4,"2,03",4,40,183,59,"292,4 km","13,51",30,21,5,1,45,"9,87","20,2",4,2,"0,09",0,0,"0,29","0,29",93,30,46,6,30,6,2,29
player_113,ME/MP (DC),2 (2),144,79,72,4,10,0,"0,76",1,4,19,3,"18,4 km","9,38",3,4,0,0,1,"16,88",10,2,2,"0,62",0,1,"0,09","0,09",10,1,4,0,1,0,0,4
player_114,DF/CR/ME (I),8 (10),836,454,379,50,14,0,"1,07",2,16,53,25,"112,9 km","14,75",8,8,1,0,23,"9,8","15,72",7,0,"0,11",0,0,"0,87","0,87",30,14,10,0,14,0,0,9
player_115,"DF (DC), MC",21 (2),1.864,1.370,1.291,94,13,2,"2,15",4,3,63,17,"238,1 km","5,79",4,7,0,0,51,"16,17","4,83",4,0,"0,14",0,0,"0,46","0,46",134,2,100,1,2,1,0,37
player_116,DF/CR/ME/MP (D),43,2.880,1.332,1.140,131,45,5,"3,62",9,95,404,105,"415,1 km","16,88",56,38,6,0,91,"10,09","18,12",3,0,"0,03",0,0,"0,17","0,17",108,196,30,28,196,28,4,35
player_117,DF (C),30 (3),2.677,2.038,1.888,157,2,1,"1,41",3,6,82,20,"337,0 km","5,21",19,5,2,0,45,"15,06","3,19",11,3,"0,13",1,0,"0,87","0,87",170,2,103,1,2,1,0,28
