Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
player_32,30/6/2028,748.000 EUR p/m,N/D,N/D,Juan Antonio Yubero,135M EUR - 163M EUR,-,-,135M EUR
player_33,30/6/2028,623.000 EUR p/m,N/D,N/D,Julian Guillen,70M EUR - 106M EUR,-,-,1Mil.M EUR
player_34,30/6/2025,864.000 EUR p/m,N/D,N/D,Antonio Vargas,24M EUR - 30M EUR,-,-,250M EUR
player_35,30/6/2026,556.000 EUR p/m,N/D,N/D,Marc Montalban,80M EUR - 101M EUR,-,-,-
player_36,30/6/2029,1.133.000 EUR p/m,N/D,N/D,Antonio Valiente,51M EUR - 78M EUR,-,-,350M EUR
player_37,30/6/2024,2.019.000 EUR p/m,N/D,N/D,Antonio Vargas,"180m EUR - 1,8M EUR",-,-,500M EUR
player_38,30/6/2027,188.000 EUR p/m,N/D,N/D,Andrea Dolfi,83M EUR - 100M EUR,-,-,109M EUR
player_39,30/6/2028,1.039.000 EUR p/m,N/D,N/D,Francis Gouin,57M EUR - 87M EUR,-,-,432M EUR
player_40,30/6/2025,801.000 EUR p/m,N/D,N/D,Maria Mosquera,25M EUR - 37M EUR,-,-,400M EUR
player_41,30/6/2028,687.000 EUR p/m,N/D,N/D,Rodrigo Casanova,95M EUR - 115M EUR,-,-,352M EUR
player_42,30/6/2025,332.000 EUR p/m,N/D,N/D,Ignacio Tinoco,"5,2M EUR - 8M EUR",-,-,16M EUR
player_43,30/6/2025,202.000 EUR p/m,N/D,N/D,Nathan Boyer,"650m EUR - 9,8M EUR",-,-,36M EUR
player_44,30/6/2026,156.000 EUR p/m,N/D,N/D,Ernesto Cabrera,77M EUR - 117M EUR,-,-,130M EUR
player_45,30/6/2028,357.000 EUR p/m,N/D,N/D,Maria Mosquera,56M EUR - 70M EUR,-,-,70M EUR
player_46,30/6/2028,190.000 EUR p/m,N/D,N/D,Matt Atkinson,66M EUR - 101M EUR,-,-,79M EUR
player_47,30/6/2028,417.000 EUR p/m,N/D,N/D,Iago Menendez,41M EUR - 62M EUR,-,-,120M EUR
player_48,30/6/2027,607.000 EUR p/m,N/D,N/D,Javi Barbero,48M EUR - 60M EUR,-,-,750M EUR
player_49,30/6/2027,667.000 EUR p/m,N/D,N/D,Ruben Cornejo,75M EUR - 114M EUR,-,-,200M EUR
player_50,30/6/2028,167.000 EUR p/m,N/D,N/D,Ernesto Cabrera,55M EUR - 84M EUR,-,-,60M EUR
player_51,30/6/2028,143.000 EUR p/m,N/D,N/D,Oleksiy Shevchenko,44M EUR - 67M EUR,-,-,61M EUR
player_52,30/6/2028,223.000 EUR p/m,N/D,N/D,Ruben Cornejo,43M EUR - 65M EUR,-,-,64M EUR
player_53,30/6/2027,120.000 EUR p/m,N/D,N/D,Javi Barbero,64M EUR - 96M EUR,-,-,80M EUR
player_54,30/6/2027,184.000 EUR p/m,N/D,N/D,Jairo Olivera,60M EUR - 72M EUR,-,-,60M EUR
player_55,30/6/2025,131.000 EUR p/m,N/D,N/D,Lucio Gutierrez,24M EUR - 29M EUR,-,-,"35,5M EUR"
player_56,30/6/2025,216.000 EUR p/m,N/D,N/D,Iago Menendez,50m EUR - 500m EUR,-,-,50M EUR
player_57,30/6/2028,315.000 EUR p/m,N/D,N/D,Omar Seddiki,64M EUR - 98M EUR,-,-,105M EUR
player_58,30/6/2027,176.000 EUR p/m,N/D,N/D,Fernando Nadal,35M EUR,-,-,64M EUR
player_59,30/6/2027,389.000 EUR p/m,N/D,N/D,Luis Gustavo Cavassani,94M EUR - 113M EUR,-,-,-
player_60,30/6/2027,540.000 EUR p/m,N/D,N/D,Iago Menendez,39M EUR - 47M EUR,-,-,190M EUR
player_61,30/6/2026,534.000 EUR p/m,N/D,N/D,Ruben Cornejo,31M EUR,-,-,100M EUR
player_62,30/6/2028,190.000 EUR p/m,N/D,N/D,Javi Barbero,99M EUR - 119M EUR,-,-,102M EUR
player_63,30/6/2025,361.000 EUR p/m,N/D,N/D,-,"550m EUR - 4,9M EUR",-,-,72M EUR
player_64,30/6/2027,864.000 EUR p/m,N/D,N/D,Maria Mosquera,26M EUR - 40M EUR,-,-,500M EUR
player_65,30/6/2026,417.000 EUR p/m,N/D,N/D,Ernesto Cabrera,28M EUR - 34M EUR,-,-,110M EUR
player_66,30/6/2027,274.000 EUR p/m,N/D,N/D,Ignacio Tinoco,41M EUR - 49M EUR,-,-,70M EUR
player_67,30/6/2026,250.000 EUR p/m,N/D,N/D,Andy Parrott,23M EUR - 29M EUR,-,-,400M EUR
player_68,30/6/2027,66.500 EUR p/m,N/D,N/D,Maria Mosquera,36M EUR - 45M EUR,-,-,100M EUR
player_69,30/6/2025,374.000 EUR p/m,N/D,N/D,Fernando Nadal,"8,2M EUR",-,-,400M EUR
player_70,30/6/2026,242.000 EUR p/m,N/D,N/D,Ruben Cornejo,"4,7M EUR - 6M EUR",-,-,"21,5M EUR"
player_71,30/6/2028,568.000 EUR p/m,N/D,N/D,Bastian Lenz,35M EUR - 53M EUR,-,-,44M EUR
player_72,30/6/2025,160.000 EUR p/m,N/D,N/D,Nathan Boyer,21M EUR - 27M EUR,-,-,92M EUR
player_73,30/6/2025,170.000 EUR p/m,N/D,N/D,Maximilian Bierofka,"200m EUR - 8,2M EUR",-,-,40M EUR
player_74,30/6/2028,94.500 EUR p/m,N/D,N/D,Xavi Aguirre,48M EUR - 73M EUR,-,-,85M EUR
player_75,30/6/2025,121.000 EUR p/m,N/D,N/D,Alvaro Trigo,"375m EUR - 3,9M EUR",-,-,35M EUR
player_76,30/6/2029,154.000 EUR p/m,N/D,N/D,Nodar Koridze,35M EUR - 54M EUR,-,-,97M EUR
player_77,30/6/2028,137.000 EUR p/m,N/D,N/D,Fernando Nadal,20M EUR - 31M EUR,-,-,31M EUR
player_78,30/6/2027,149.000 EUR p/m,N/D,N/D,Raul Beltrami Teixeira,60M EUR - 91M EUR,-,-,-
player_79,30/6/2027,182.000 EUR p/m,N/D,N/D,Maria Mosquera,35M EUR - 53M EUR,-,-,88M EUR
player_80,30/6/2025,859.000 EUR p/m,N/D,N/D,Ruben Cornejo,"11,5M EUR - 17,5M EUR",-,-,-
player_81,30/6/2028,249.000 EUR p/m,N/D,N/D,Jairo Olivera,58M EUR - 89M EUR,-,-,63M EUR
player_82,30/6/2024,105.000 EUR p/m,N/D,N/D,Marc Montalban,160m EUR - 475m EUR,-,-,"30,5M EUR"
player_83,30/6/2025,185.000 EUR p/m,N/D,N/D,Federico Zampaglione,"450m EUR - 4,5M EUR",-,-,"41,5M EUR"
player_84,30/6/2025,97.000 EUR p/m,N/D,N/D,Berke Sahin,"6,6M EUR - 10M EUR",-,-,"28,5M EUR"
player_85,30/6/2026,89.500 EUR p/m,N/D,N/D,Jonathan Pierron,34M EUR - 41M EUR,-,-,"33,5M EUR"
player_86,30/6/2027,108.000 EUR p/m,N/D,N/D,Jermaine Dawson,27M EUR - 41M EUR,-,-,"41,5M EUR"
player_87,30/6/2026,441.000 EUR p/m,N/D,N/D,Alvaro Trigo,No a la venta,-,-,"30,5M EUR"
player_88,30/6/2024,773.000 EUR p/m,N/D,N/D,Jairo Olivera,0 EUR - 85m EUR,-,-,500M EUR
player_89,30/6/2024,505.000 EUR p/m,N/D,N/D,Will Law,0EUR,-,-,50M EUR
player_90,30/6/2025,242.000 EUR p/m,N/D,N/D,-,"275m EUR - 2,8M EUR",-,-,45M EUR
player_91,30/6/2027,267.000 EUR p/m,N/D,N/D,Maria Mosquera,27M EUR - 33M EUR,-,-,47M EUR
player_92,30/6/2026,582.000 EUR p/m,N/D,N/D,Maximilian Bierofka,"17,5M EUR - 27M EUR",-,-,-
player_93,30/6/2025,748.000 EUR p/m,N/D,N/D,Javi Barbero,"800m EUR - 7,8M EUR",-,-,400M EUR
player_94,30/6/2026,212.000 EUR p/m,N/D,N/D,Ludovic Salmon,No a la venta,-,-,39M EUR
player_95,30/6/2027,333.000 EUR p/m,N/D,N/D,Claudio Fiorucci,22M EUR - 28M EUR,-,-,"33,5M EUR"
player_96,30/6/2026,146.000 EUR p/m,N/D,N/D,Fernando Nadal,"12,5M EUR - 16,5M EUR",-,-,51M EUR
player_97,30/6/2026,81.500 EUR p/m,N/D,N/D,Iago Menendez,"6,6M EUR - 10,5M EUR",-,-,22M EUR
player_98,30/6/2027,715.000 EUR p/m,N/D,N/D,Maria Mosquera,"18,5M EUR - 30M EUR",-,-,"46,5M EUR"
player_99,30/6/2026,242.000 EUR p/m,N/D,N/D,Jermaine Dawson,95m EUR - 950m EUR,-,-,"4,6M EUR"
player_100,30/6/2026,128.000 EUR p/m,N/D,N/D,Maria Mosquera,No a la venta,-,-,"27,5M EUR"
player_101,30/6/2029,94.000 EUR p/m,N/D,N/D,Maria Mosquera,20M EUR - 32M EUR,-,-,27M EUR
player_102,30/6/2027,167.000 EUR p/m,N/D,N/D,Eduard Kovtun,26M EUR - 41M EUR,-,-,"31,5M EUR"
player_103,30/6/2026,94.500 EUR p/m,N/D,N/D,Jairo Olivera,22M EUR - 27M EUR,-,-,22M EUR
player_104,30/6/2024,260.000 EUR p/m,N/D,N/D,Daniel Wilkins,110m EUR,-,-,45M EUR
player_105,30/6/2026,89.500 EUR p/m,N/D,N/D,Flavien Cazaux,"5,8M EUR - 9,2M EUR",-,-,"28,5M EUR"
player_106,30/6/2025,151.000 EUR p/m,N/D,N/D,Maria Mosquera,"3,8M EUR - 6M EUR",-,-,"7,25M EUR"
player_107,30/6/2028,116.000 EUR p/m,N/D,N/D,Fernando Nadal,"17,5M EUR - 21M EUR",-,-,100M EUR
player_108,30/6/2028,93.500 EUR p/m,N/D,N/D,Bastian Lenz,28M EUR - 35M EUR,-,-,28M EUR
player_109,30/6/2025,97.000 EUR p/m,N/D,N/D,Iago Menendez,"9,8M EUR - 15,5M EUR",-,-,27M EUR
player_110,30/6/2026,75.000 EUR p/m,N/D,N/D,Nahuel Barros,No a la venta,-,-,30M EUR
player_111,30/6/2028,102.000 EUR p/m,N/D,N/D,Fernando Nadal,"13,5M EUR - 21M EUR",-,-,"31,5M EUR"
player_112,30/6/2025,79.000 EUR p/m,N/D,N/D,Ludovic Salmon,"600m EUR - 5,8M EUR",-,-,"20,5M EUR"
player_113,30/6/2025,122.000 EUR p/m,N/D,N/D,Maria Mosquera,"4,3M EUR",-,-,"40,5M EUR"
player_114,30/6/2025,94.500 EUR p/m,N/D,N/D,Ruben Cornejo,12M EUR - 15M EUR,-,-,"22,5M EUR"
player_115,30/6/2028,404.000 EUR p/m,N/D,N/D,Matt Atkinson,34M EUR,-,-,-
player_116,30/6/2025,109.000 EUR p/m,N/D,N/D,Berke Sahin,"400m EUR - 3,9M EUR",-,-,20M EUR
player_117,30/6/2026,213.000 EUR p/m,N/D,N/D,Santiago Berrocal,"550m EUR - 1,7M EUR",-,-,"14,25M EUR"
player_118,30/6/2026,131.000 EUR p/m,N/D,N/D,Ruben Cornejo,No a la venta,-,-,23M EUR
player_119,30/6/2027,143.000 EUR p/m,N/D,N/D,Ernesto Cabrera,27M EUR - 35M EUR,-,-,35M EUR
player_120,30/6/2026,105.000 EUR p/m,N/D,N/D,Ruben Cornejo,"6,8M EUR - 8,8M EUR",-,-,22M EUR
player_121,30/6/2027,184.000 EUR p/m,N/D,N/D,Ruben Cornejo,54M EUR - 86M EUR,-,-,70M EUR
player_122,30/6/2026,46.500 EUR p/m,N/D,N/D,Juan Amaro,21M EUR - 27M EUR,-,-,"27,5M EUR"
player_123,30/6/2026,19.500 EUR p/m,N/D,N/D,Cem Smits,7M EUR - 9M EUR,-,-,"20,5M EUR"
player_124,30/6/2026,124.000 EUR p/m,N/D,N/D,Fernando Nadal,"15M EUR - 19,5M EUR",-,-,"23,5M EUR"
player_125,30/6/2026,997.000 EUR p/m,N/D,N/D,Ruben Cornejo,17M EUR - 27M EUR,-,-,150M EUR
player_126,30/6/2028,125.000 EUR p/m,N/D,N/D,Maximilian Bierofka,18M EUR - 22M EUR,-,-,23M EUR
player_127,30/6/2030,141.000 EUR p/m,N/D,N/D,Alvaro Trigo,46M EUR - 73M EUR,-,-,75M EUR
player_128,30/6/2026,141.000 EUR p/m,N/D,N/D,Jairo Olivera,48M EUR - 77M EUR,-,-,60M EUR
player_129,30/6/2024,84.500 EUR p/m,N/D,N/D,Ignacio Figueroa,18m EUR - 170m EUR,-,-,21M EUR
player_130,30/6/2024,111.000 EUR p/m,N/D,N/D,Ludovic Salmon,3m EUR,-,-,22M EUR
player_131,30/6/2025,43.500 EUR p/m,N/D,N/D,Fernando Nadal,"650m EUR - 6,4M EUR",-,-,"7,5M EUR"
player_132,30/6/2026,79.000 EUR p/m,N/D,N/D,Ruben Cornejo,"11,5M EUR - 14,5M EUR",-,-,"26,5M EUR"
player_133,30/6/2032,165.000 EUR p/m,N/D,N/D,Marc Montalban,54M EUR - 86M EUR,-,-,80M EUR
player_134,30/6/2027,73.500 EUR p/m,N/D,N/D,Dalibor Budimir,No a la venta,-,-,20M EUR
player_135,30/6/2026,89.500 EUR p/m,N/D,N/D,Maria Mosquera,400m EUR - 4M EUR,-,-,24M EUR
player_136,30/6/2027,98.500 EUR p/m,N/D,N/D,Antonio Jose Albarran,46M EUR - 72M EUR,-,-,100M EUR
player_137,30/6/2026,45.000 EUR p/m,N/D,N/D,Manuel Ramirez,"15M EUR - 18,5M EUR",-,-,15M EUR
player_138,30/6/2026,99.000 EUR p/m,N/D,N/D,Flavien Cazaux,"5,8M EUR - 9,2M EUR",-,-,"22,5M EUR"
player_139,30/6/2029,449.000 EUR p/m,N/D,N/D,Aliriza Koseoglu,55M EUR - 68M EUR,-,-,500M EUR
player_140,30/6/2026,95.000 EUR p/m,N/D,N/D,Iago Menendez,No a la venta,-,-,25M EUR
player_141,30/6/2026,46.500 EUR p/m,N/D,N/D,Roland Toth,16M EUR - 25M EUR,-,-,25M EUR
player_142,30/6/2028,52.500 EUR p/m,N/D,N/D,Julio Cesar Rodriguez,48M EUR - 62M EUR,-,-,87M EUR
player_143,30/6/2027,63.000 EUR p/m,N/D,N/D,Maria Mosquera,"17,5M EUR - 21M EUR",-,-,"23,5M EUR"
player_144,30/6/2028,84.000 EUR p/m,N/D,N/D,Peter van Veldhuizen,"10,5M EUR - 13,5M EUR",-,-,46M EUR
player_145,30/6/2024,217.000 EUR p/m,N/D,N/D,Matt Atkinson,30m EUR,-,-,"17,5M EUR"
player_146,30/6/2028,137.000 EUR p/m,N/D,N/D,Jairo Olivera,24M EUR - 31M EUR,-,-,"45,5M EUR"
player_147,30/6/2026,93.000 EUR p/m,N/D,N/D,Javi Barbero,"55m EUR - 9,2M EUR",-,-,"14,5M EUR"
player_148,30/6/2027,151.000 EUR p/m,N/D,N/D,Luis Mendes,29M EUR - 46M EUR,-,-,227M EUR
player_149,30/6/2026,68.500 EUR p/m,N/D,N/D,Julian Guillen,20M EUR - 31M EUR,-,-,"33,5M EUR"
player_150,30/6/2025,62.500 EUR p/m,N/D,N/D,Alvaro Trigo,"8,6M EUR - 11M EUR",-,-,80M EUR
player_151,30/6/2025,182.000 EUR p/m,N/D,N/D,Iago Menendez,"650m EUR - 6,8M EUR",-,-,-
player_152,30/6/2029,59.500 EUR p/m,N/D,N/D,Flavien Cazaux,"10M EUR - 12,5M EUR",-,-,"21,5M EUR"
player_153,30/6/2027,101.000 EUR p/m,N/D,N/D,Scott Rose,"6,2M EUR - 9,8M EUR",-,-,"17,5M EUR"
player_154,30/6/2025,55.000 EUR p/m,N/D,N/D,Fernando Nadal,"4M EUR - 8,2M EUR",-,-,15M EUR
player_155,30/6/2027,122.000 EUR p/m,N/D,N/D,Alvaro Trigo,41M EUR - 50M EUR,-,-,-
player_156,30/6/2025,121.000 EUR p/m,N/D,N/D,Iago Menendez,"45m EUR - 7,6M EUR",-,-,"39,5M EUR"
player_157,30/6/2026,158.000 EUR p/m,N/D,N/D,Santiago Berrocal,"6M EUR - 9,6M EUR",-,-,"19,5M EUR"
player_158,30/6/2027,54.500 EUR p/m,N/D,N/D,Hector Vargas,"9,2M EUR - 14,5M EUR",-,-,"21,5M EUR"
player_159,30/6/2027,75.500 EUR p/m,N/D,N/D,Ruben Cornejo,"10,5M EUR - 13,5M EUR",-,-,"22,5M EUR"
player_160,30/6/2025,167.000 EUR p/m,N/D,N/D,Maria Mosquera,"3,5M EUR - 7,2M EUR",-,-,250M EUR
player_161,30/6/2024,7.750 EUR p/m,N/D,N/D,Rakan Al-Shammari,0 EUR - 18m EUR,-,-,"2,4M EUR"
player_162,30/6/2028,155.000 EUR p/m,N/D,N/D,Jairo Olivera,36M EUR - 58M EUR,-,-,55M EUR
player_163,30/6/2029,403.000 EUR p/m,N/D,N/D,Bastian Lenz,74M EUR - 91M EUR,-,-,111M EUR
player_164,30/6/2028,76.000 EUR p/m,N/D,N/D,Iago Menendez,20M EUR - 32M EUR,-,-,25M EUR
player_165,30/6/2027,131.000 EUR p/m,N/D,N/D,Maria Mosquera,No a la venta,-,-,50M EUR
player_166,30/6/2025,154.000 EUR p/m,N/D,N/D,Dolors Acevedo,"350m EUR - 3,4M EUR",-,-,-
player_167,30/6/2026,121.000 EUR p/m,N/D,N/D,Maria Mosquera,29M EUR,-,-,48M EUR
player_168,30/6/2026,170.000 EUR p/m,N/D,N/D,Jair Gonzalez,"7,6M EUR - 12M EUR",-,-,"15,5M EUR"
player_169,30/6/2029,41.000 EUR p/m,N/D,N/D,Raul Beltrami Teixeira,"11M EUR - 13,5M EUR",-,-,11M EUR
player_170,30/6/2025,248.000 EUR p/m,N/D,N/D,Jermaine Dawson,"475m EUR - 4,7M EUR",-,-,-
player_171,30/6/2027,140.000 EUR p/m,N/D,N/D,Ozcan Parlak,24M EUR - 39M EUR,-,-,"42,5M EUR"
player_172,30/6/2026,73.500 EUR p/m,N/D,N/D,Ernesto Cabrera,25M EUR - 33M EUR,-,-,"32,5M EUR"
player_173,30/6/2026,94.500 EUR p/m,N/D,N/D,Will Law,24M EUR - 38M EUR,-,-,"38,5M EUR"
player_174,30/6/2026,75.000 EUR p/m,N/D,N/D,Juan Antonio Yubero,67M EUR - 86M EUR,-,-,1Mil.M EUR
player_175,30/6/2027,253.000 EUR p/m,N/D,N/D,Christian Viroli,28M EUR - 36M EUR,-,-,44M EUR
player_176,30/6/2028,120.000 EUR p/m,N/D,N/D,Alvaro Trigo,43M EUR - 69M EUR,-,-,89M EUR
player_177,30/6/2025,33.500 EUR p/m,N/D,N/D,Jairo Olivera,"110m EUR - 1,1M EUR",-,-,"7,25M EUR"
player_178,30/6/2028,170.000 EUR p/m,N/D,N/D,Javier da Silva,60M EUR - 73M EUR,-,-,80M EUR
player_179,30/6/2025,62.500 EUR p/m,N/D,N/D,Maria Mosquera,"700m EUR - 7,2M EUR",-,-,"13,25M EUR"
player_180,30/6/2028,162.000 EUR p/m,N/D,N/D,Ruben Cornejo,"4,3M EUR - 8,6M EUR",-,-,"21,5M EUR"
player_181,30/6/2026,95.500 EUR p/m,N/D,N/D,Alvaro Trigo,60m EUR - 600m EUR,-,-,"11,75M EUR"
player_182,30/6/2027,114.000 EUR p/m,N/D,N/D,Fernando Nadal,20M EUR - 32M EUR,-,-,"31,5M EUR"
player_183,30/6/2028,49.000 EUR p/m,N/D,N/D,David Senden,"8,2M EUR - 13M EUR",-,-,18M EUR
player_184,30/6/2028,89.000 EUR p/m,N/D,N/D,Alvaro Trigo,31M EUR - 40M EUR,-,-,100M EUR
player_185,30/6/2028,186.000 EUR p/m,N/D,N/D,Jairo Olivera,31M EUR - 48M EUR,-,-,82M EUR
player_186,30/6/2025,39.000 EUR p/m,N/D,N/D,Iago Menendez,"2,5M EUR - 5,2M EUR",-,-,10M EUR
player_187,30/6/2028,43.000 EUR p/m,N/D,N/D,Jonathan Pierron,"19,5M EUR - 24M EUR",-,-,100M EUR
player_188,30/6/2026,101.000 EUR p/m,N/D,N/D,Ernesto Cabrera,"15,5M EUR - 25M EUR",-,-,20M EUR
player_189,30/6/2028,42.000 EUR p/m,N/D,N/D,Tim Gilson,"4,9M EUR - 6,4M EUR",-,-,"13,5M EUR"
player_190,30/6/2025,404.000 EUR p/m,N/D,N/D,Jairo Olivera,25M EUR - 40M EUR,-,-,-
player_191,30/6/2026,181.000 EUR p/m,N/D,N/D,Patrick Wolf,41M EUR - 65M EUR,-,-,-
player_192,31/5/2028,121.000 EUR p/m,N/D,N/D,Alexandru Ionita,"11,5M EUR - 18M EUR",-,-,-
player_193,30/6/2026,103.000 EUR p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,"30,5M EUR"
player_194,30/6/2029,116.000 EUR p/m,N/D,N/D,Yakov Saidov,22M EUR - 27M EUR,-,-,75M EUR
player_195,30/6/2028,128.000 EUR p/m,N/D,N/D,Santiago Berrocal,54M EUR - 86M EUR,-,-,85M EUR
player_196,30/6/2026,52.000 EUR p/m,N/D,N/D,Fernando Nadal,"1,3M EUR",-,-,"13,5M EUR"
player_197,30/6/2027,432.000 EUR p/m,N/D,N/D,Jairo Olivera,"7,6M EUR - 10M EUR",-,-,250M EUR
player_198,30/6/2026,139.000 EUR p/m,N/D,N/D,Iago Menendez,100m EUR - 1M EUR,-,-,12M EUR
player_199,30/6/2026,75.000 EUR p/m,N/D,N/D,Ruben Cornejo,21M EUR - 34M EUR,-,-,"45,5M EUR"
player_200,30/6/2024,76.500 EUR p/m,N/D,N/D,Claudio Fiorucci,0EUR,-,-,"9,75M EUR"
player_201,30/6/2026,106.000 EUR p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,44M EUR
player_202,30/6/2027,48.500 EUR p/m,N/D,N/D,Jermaine Dawson,500m EUR - 5M EUR,-,-,24M EUR
player_203,30/6/2026,42.000 EUR p/m,N/D,N/D,Luis Mendes,"3,2M EUR - 6,8M EUR",-,-,"10,75M EUR"
player_204,30/6/2028,140.000 EUR p/m,N/D,N/D,Juan Amaro,"7,2M EUR - 11,5M EUR",-,-,41M EUR
player_205,30/6/2024,18.000 EUR p/m,N/D,N/D,Gencay Kilic,"1,5m EUR",-,-,550m EUR
player_206,30/6/2026,125.000 EUR p/m,N/D,N/D,Jairo Olivera,"19,5M EUR - 24M EUR",-,-,69M EUR
player_207,30/6/2028,47.000 EUR p/m,N/D,N/D,Alvaro Trigo,16M EUR - 26M EUR,-,-,32M EUR
player_208,30/6/2027,455.000 EUR p/m,N/D,N/D,Ruben Cornejo,45M EUR - 71M EUR,-,-,-
player_209,30/6/2027,78.000 EUR p/m,N/D,N/D,Tim Gilson,"4,6M EUR - 7,4M EUR",-,-,"12,75M EUR"
player_210,30/6/2026,39.500 EUR p/m,N/D,N/D,Camila Umpierrez,"325m EUR - 3,4M EUR",-,-,"10,75M EUR"
player_211,30/6/2027,34.000 EUR p/m,N/D,N/D,Christian Viroli,"5,4M EUR - 7M EUR",-,-,"10,25M EUR"
player_212,30/6/2026,332.000 EUR p/m,N/D,N/D,Felix Bonrath,"11,5M EUR - 18M EUR",-,-,"29,5M EUR"
player_213,30/6/2027,139.000 EUR p/m,N/D,N/D,Iago Menendez,No a la venta,-,-,26M EUR
player_214,30/6/2029,217.000 EUR p/m,N/D,N/D,Will Law,"7,6M EUR - 9,4M EUR",-,-,"23,5M EUR"
player_215,30/6/2027,83.000 EUR p/m,N/D,N/D,Jairo Olivera,"14,5M EUR - 18M EUR",-,-,27M EUR
player_216,30/6/2026,26.500 EUR p/m,N/D,N/D,Marc Cope,"3,9M EUR - 6,2M EUR",-,-,"33,5M EUR"
player_217,30/6/2026,288.000 EUR p/m,N/D,N/D,Fernando Nadal,"4,4M EUR",-,-,400M EUR
