Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
player_47,A. Madrid,DF (C),185 cm,77 kg,29.0,Derecha,Perfeccionista,---,nan,6.91,URU,Soberbia,Inteligente
player_48,R. Madrid,"ME (C), MP (DC)",170 cm,68 kg,24.0,Derecha,Resuelto,---,nan,07.03,MAR,Soberbia,Tecnico
player_49,A. Madrid,"CR (D), MC, ME (DC), MP (C)",184 cm,73 kg,29.0,Derecha,Profesional,---,nan,6.92,ESP,Soberbia,Fisico
player_50,Real San Sebastian,"ME (C), MP (DC)",187 cm,76 kg,27.0,Izquierda,Equilibrada,---,nan,7.17,ESP,Soberbia,Tecnico
player_51,Girona,DL (C),189 cm,87 kg,27.0,Izquierda,Profesional,---,nan,6.94,UKR,Soberbia,Fisico
player_52,Real San Sebastian,DF (C),187 cm,80 kg,27.0,Solo derecha,Bastante profesional,---,nan,07.01,ESP,Soberbia,Tecnico
player_53,Villarreal,"ME (D), MP (DIC), DL (C)",172 cm,65 kg,21.0,Derecha,Energico,---,nan,07.09,ESP,Soberbia,Creativo
player_54,Real San Sebastian,"MC, ME (C)",181 cm,74 kg,25.0,Derecha,Energico,---,nan,6.93,ESP,Soberbia,Tecnico
player_55,Sevilla,DF/CR/ME (I),172 cm,71 kg,32.0,Izquierda,Bastante decidido,---,nan,6.92,ARG,Soberbia,Lider
player_56,Vigo,"MP (DC), DL (C)",176 cm,66 kg,36.0,Izquierda,Lider,---,nan,6.93,ESP,Soberbia,Inteligente
player_57,Sevilla,DL (C),189 cm,73 kg,27.0,Izquierda,Bastante ambicioso,---,nan,6.99,MAR,Soberbia,Fisico
player_58,Real Hispalis,ME/MP (DIC),176 cm,78 kg,32.0,Derecha,Equilibrada,---,nan,6.95,ESP,Soberbia,Creativo
player_59,Girona,DF/CR/ME/MP (D),170 cm,65 kg,22.0,Derecha,Equilibrada,---,nan,6.95,BRA,Muy buena+,Tecnico
player_60,A. Madrid,"CR (I), ME/MP (IC)",170 cm,58 kg,28.0,Izquierda,Ciudadano modelo,---,nan,6.91,FRA,Muy buena+,Creativo
player_61,Real Hispalis,"MP (DIC), DL (C)",173 cm,72 kg,30.0,Izquierda,Perfeccionista,---,nan,6.76,FRA,Muy buena+,Creativo
player_62,Villarreal,"ME (C), MP (DIC), DL (C)",174 cm,69 kg,22.0,Derecha,Equilibrada,---,nan,6.96,ESP,Muy buena+,Creativo
player_63,R. Madrid,ME/MP (C),179 cm,71 kg,27.0,Derecha,Equilibrada,---,nan,6.69,ESP,Muy buena+,Tecnico
player_64,A. Madrid,"DF (C), MC, ME (C)",186 cm,81 kg,35.0,Derecha,Energico,---,nan,6.96,BEL,Muy buena+,Inteligente
player_65,A. Madrid,"ME (D), MP (DIC), DL (C)",172 cm,67 kg,29.0,Derecha,Bastante profesional,---,nan,6.88,ARG,Muy buena+,Creativo
player_66,R. Madrid,POR,191 cm,83 kg,25.0,Derecha,Energico,---,nan,6.97,UKR,Muy buena+,Guardameta
player_67,Girona,"DF (C), MC",182 cm,79 kg,23.0,Derecha,Resuelto,---,nan,07.01,ESP,Muy buena+,Tecnico
player_68,Valencia,"DF (C), MC",192 cm,78 kg,27.0,Derecha,Resuelto,---,nan,07.05,GUI,Muy buena+,Fisico
player_69,Barcelona,"DF/CR (D), MC, ME (DC)",178 cm,67 kg,32.0,Derecha,Bastante profesional,---,nan,07.04,ESP,Muy buena+,Lider
player_70,A. Madrid,DF (C),187 cm,79 kg,33.0,Derecha,Energico,---,nan,6.82,MNE,Muy buena+,Inteligente
player_71,A. Madrid,"DF (IC), CR (I)",180 cm,68 kg,30.0,Izquierda,Resuelto,---,nan,6.70,MOZ,Muy buena+,Tecnico
player_72,Villarreal,DL (C),194 cm,90 kg,28.0,Izquierda,Equilibrada,---,nan,6.97,NOR,Muy buena+,Fisico
player_73,Girona,"DF (IC), CR (I), MC",180 cm,71 kg,34.0,Izquierda,Ciudadano modelo,---,nan,7.00,NED,Muy buena+,Inteligente
player_74,Real Hispalis,"ME/MP (DI), DL (C)",177 cm,73 kg,22.0,Derecha,Energico,---,nan,6.94,MAR,Muy buena+,Fisico
player_75,Villarreal,DF (C),190 cm,82 kg,38.0,Derecha,Bastante profesional,---,nan,6.89,ESP,Muy buena+,Lider
player_76,Valencia,POR,199 cm,94 kg,23.0,Izquierda,Equilibrada,---,nan,6.76,GEO,Muy buena+,Con autoridad
player_77,Getafe,"MC, ME (DC)",184 cm,75 kg,29.0,Derecha,Bastante decidido,---,nan,07.09,SRB,Muy buena+,Lider
player_78,Girona,"MP (DI), DL (C)",173 cm,66 kg,20.0,Solo izquierda,Energico,---,nan,7.11,BRA,Muy buena+,Creativo
player_79,Real San Sebastian,"ME/MP (DC), DL (C)",173 cm,64 kg,23.0,Izquierda,Decidido,---,nan,6.98,JPN,Muy buena+,Creativo
player_80,R. Madrid,POR,188 cm,88 kg,29.0,Derecha,Bastante profesional,---,nan,07.02,ESP,Muy buena+,Distribuidor
player_81,A. Bilbao,"DF (C), MC",183 cm,83 kg,24.0,Derecha,Perfeccionista,---,nan,6.95,ESP,Muy buena+,Tecnico
player_82,Espanyol,"MP (DIC), DL (C)",177 cm,75 kg,33.0,Derecha,Resuelto,---,nan,6.93,DEN,Muy buena+,Lider
player_83,Real Hispalis,DF (C),187 cm,81 kg,32.0,Derecha,Resuelto,---,nan,6.84,ARG,Muy buena+,Inteligente
player_84,Villarreal,DF (C),187 cm,77 kg,30.0,Derecha,Bastante profesional,---,nan,6.85,CIV,Muy buena+,Fisico
player_85,Vigo,"MP (DI), DL (C)",175 cm,72 kg,28.0,Derecha,Bastante ambicioso,---,nan,6.87,CIV,Muy buena+,Fisico
player_86,Girona,"MC, ME (C)",184 cm,77 kg,26.0,Derecha,Bastante ambicioso,---,nan,6.98,VEN,Muy buena+,Lider
player_87,Sevilla,"DF (C), MC, ME (C)",186 cm,76 kg,32.0,Derecha,Perfeccionista,---,nan,7.00,SRB,Muy buena+,Lider
player_88,R. Madrid,DF/CR/ME/MP (D),173 cm,70 kg,32.0,Derecha,Bastante profesional,---,nan,6.73,ESP,Muy buena+,Lider
player_89,Barcelona,"DF (IC), CR/ME (I)",188 cm,87 kg,33.0,Izquierda,Equilibrada,---,nan,07.01,ESP,Muy buena+,Tecnico
player_90,R. Madrid,DL (C),191 cm,86 kg,34.0,Derecha,Ambicioso,---,nan,6.89,ESP,Muy buena+,Inteligente
player_91,Real San Sebastian,DL (C),185 cm,84 kg,28.0,Derecha,Bastante profesional,---,nan,6.81,POR,Muy buena+,Inteligente
player_92,Vallecano,"MP (C), DL (C)",180 cm,72 kg,29.0,Derecha,Equilibrada,---,nan,6.74,ESP,Muy buena+,Tecnico
player_93,Barcelona,DF (C),182 cm,77 kg,33.0,Izquierda,nan,---,nan,6.70,ESP,Muy buena+,Lider
player_94,Villarreal,"MC, ME (DC)",176 cm,73 kg,33.0,Derecha,nan,---,nan,6.83,FRA,Muy buena+,Lider
player_95,Mallorca,DL (C),194 cm,92 kg,30.0,Izquierda,nan,---,nan,6.84,KOS,Muy buena+,Lider
player_96,Villarreal,ME/MP (IC),178 cm,66 kg,30.0,Derecha,nan,---,nan,07.03,ESP,Muy buena+,Tecnico
player_97,Atletico Pamplona,DF/CR/ME (I),179 cm,65 kg,31.0,Izquierda,nan,---,nan,6.83,COL,Muy buena+,Fisico
player_98,A. Madrid,DF (IC),184 cm,75 kg,29.0,Izquierda,nan,---,nan,6.83,ESP,Muy buena+,Tecnico
player_99,A. Madrid,"DF (DIC), CR (DI)",178 cm,78 kg,34.0,Derecha,nan,---,nan,6.61,ESP,Muy buena+,Lider
player_100,A. Bilbao,"ME (IC), MP (DIC)",170 cm,66 kg,31.0,Derecha,nan,---,nan,07.04,ESP,Muy buena+,Creativo
player_101,Real San Sebastian,DF/CR (D),175 cm,66 kg,28.0,Derecha,nan,---,nan,7.20,ESP,Muy buena+,Tecnico
player_102,Girona,ME/MP (DI),178 cm,72 kg,26.0,Izquierda,nan,---,nan,07.03,UKR,Muy buena+,Tecnico
player_103,Vigo,"DF (DIC), CR (D)",184 cm,75 kg,25.0,Derecha,nan,---,nan,07.01,ESP,Muy buena+,Lider
player_104,Sevilla,"ME (D), MP (DIC), DL (C)",181 cm,78 kg,32.0,Izquierda,nan,---,nan,6.88,ARG,Muy buena+,Tecnico
player_105,Real Hispalis,DF/CR (D),174 cm,68 kg,31.0,Derecha,nan,---,nan,6.88,SEN,Muy buena+,Fisico
player_106,A. Bilbao,DF/CR (I),181 cm,78 kg,34.0,Izquierda,nan,---,nan,6.85,ALG,Muy buena+,Tecnico
player_107,Real San Sebastian,DL (C),192 cm,75 kg,27.0,Derecha,nan,---,nan,6.81,NGA,Muy buena+,Fisico
player_108,Villarreal,DF (DIC),184 cm,78 kg,32.0,Derecha,nan,---,nan,6.83,ALG,Muy buena+,Lider
player_109,Sevilla,"MC, ME (C)",183 cm,77 kg,27.0,Derecha,nan,---,nan,6.95,SUI,Muy buena+,Fisico
player_110,Cadiz,POR,186 cm,85 kg,31.0,Derecha,nan,---,nan,6.57,ARG,Muy buena+,Guardameta
player_111,Real Hispalis,DF/CR (D),177 cm,74 kg,29.0,Derecha,nan,---,nan,6.82,ESP,Muy buena+,Fisico
player_112,Real San Sebastian,DF/CR (D),175 cm,71 kg,32.0,Derecha,nan,---,nan,7.10,MLI,Muy buena+,Fisico
player_113,Sevilla,ME/MP (DC),176 cm,70 kg,30.0,Izquierda,nan,---,nan,6.80,ESP,Muy buena+,Creativo
player_114,Villarreal,DF/CR/ME (I),171 cm,65 kg,31.0,Solo izquierda,nan,---,nan,6.77,ESP,Muy buena+,Tecnico
player_115,A. Madrid,"DF (DC), MC",192 cm,85 kg,24.0,Derecha,nan,---,nan,07.05,ENG,Muy buena+,Inteligente
player_116,Sevilla,DF/CR/ME/MP (D),170 cm,60 kg,38.0,Derecha,nan,---,nan,6.86,ESP,Muy buena+,Lider
player_117,Real Hispalis,DF (C),184 cm,73 kg,33.0,Derecha,nan,---,nan,6.75,ESP,Muy buena+,Inteligente
player_118,Getafe,"DF (C), MC",178 cm,71 kg,32.0,Derecha,nan,---,nan,6.71,TOG,Muy buena+,Fisico
player_119,Vallecano,"DF (C), MC, ME (C)",183 cm,71 kg,30.0,Derecha,nan,---,nan,6.84,SEN,Muy buena+,Fisico
player_120,Girona,DF/CR (I),180 cm,75 kg,22.0,Izquierda,nan,---,nan,6.99,ESP,Muy buena+,Tecnico
player_121,Granada,DL (C),178 cm,76 kg,21.0,Derecha,nan,---,nan,6.71,URU,Muy buena+,Tecnico
player_122,Real San Sebastian,POR,192 cm,80 kg,29.0,Derecha,nan,---,nan,6.81,ESP,Muy buena+,Distribuidor
player_123,Vigo,"ME (IC), MP (DIC)",177 cm,68 kg,26.0,Izquierda,nan,---,nan,6.66,USA,Muy buena+,Creativo
player_124,Vallecano,POR,188 cm,89 kg,30.0,Derecha,nan,---,nan,6.68,MKD,Muy buena+,Con autoridad
player_125,A. Madrid,"MC, ME (DIC)",184 cm,76 kg,29.0,Izquierda,nan,---,nan,6.79,ESP,Muy buena+,Tecnico
player_126,Getafe,DF (C),188 cm,92 kg,27.0,Izquierda,nan,---,nan,6.87,PAR,Muy buena+,Fisico
player_127,Real San Sebastian,ME/MP (DI),178 cm,74 kg,22.0,Derecha,nan,---,nan,07.02,ESP,Muy buena+,Fisico
player_128,Real San Sebastian,DF (DC),182 cm,72 kg,30.0,Derecha,nan,---,nan,07.04,ESP,Muy buena+,Lider
player_129,Espanyol,DF (IC),188 cm,81 kg,33.0,Izquierda,nan,---,nan,6.92,URU,Muy buena+,Lider
player_130,Villarreal,"MC, ME (C)",189 cm,80 kg,35.0,Derecha,nan,---,nan,6.98,FRA,Muy buena+,Inteligente
player_131,Leganes,"MC, ME/MP (C)",178 cm,73 kg,32.0,Derecha,nan,---,nan,7.10,SRB,Muy buena+,Lider
player_132,Getafe,DF (C),190 cm,84 kg,29.0,Derecha,nan,---,nan,6.64,POR,Muy buena+,Fisico
player_133,A. Bilbao,ME/MP (C),188 cm,73 kg,24.0,Derecha,nan,---,nan,7.12,ESP,Muy buena+,Inteligente
player_134,Atletico Pamplona,DL (C),190 cm,75 kg,32.0,Izquierda,nan,---,nan,6.84,CRO,Muy buena+,Inteligente
player_135,Real Hispalis,POR,191 cm,91 kg,30.0,Izquierda,nan,---,nan,6.52,POR,Muy buena+,Distribuidor
player_136,Valencia,"MC, ME (DC), MP (C)",187 cm,76 kg,21.0,Derecha,nan,---,nan,07.06,ESP,Muy buena+,Creativo
player_137,Cadiz,MP (DI),172 cm,67 kg,24.0,Derecha,nan,---,nan,6.95,URU,Muy buena+,Creativo
player_138,R. Madrid,MP (DC),175 cm,71 kg,19.0,Izquierda,nan,---,nan,6.97,TUR,Muy buena+,Creativo
player_139,Mallorca,POR,191 cm,88 kg,28.0,Derecha,nan,---,nan,6.53,SRB,Muy buena+,Con autoridad
player_140,Vallecano,DF (IC),172 cm,71 kg,32.0,Solo izquierda,nan,---,nan,6.83,URU,Muy buena+,Lider
player_141,Granada,"ME (I), MP (DIC), DL (C)",178 cm,72 kg,29.0,Derecha,nan,---,nan,6.96,ALB,Muy buena+,Lider
player_142,Alaves,DL (C),193 cm,86 kg,20.0,Derecha,nan,---,nan,6.84,ESP,Muy buena+,Fisico
player_143,Granada,"MP (DIC), DL (C)",179 cm,81 kg,28.0,Derecha,nan,---,nan,6.76,ARG,Muy buena+,Fisico
player_144,Vigo,DL (C),193 cm,78 kg,24.0,Derecha,nan,---,nan,6.79,NOR,Muy buena+,Fisico
player_145,Villarreal,"MP (DI), DL (C)",181 cm,73 kg,28.0,Solo izquierda,nan,---,nan,6.89,BFA,Muy buena+,Fisico
player_146,Vigo,DF (C),186 cm,81 kg,27.0,Derecha,nan,---,nan,6.68,ESP,Muy buena+,Fisico
player_147,A. Madrid,DF (C),187 cm,71 kg,33.0,Derecha,nan,---,nan,6.71,BRA,Muy buena+,Lider
player_148,A. Madrid,"DF/CR/ME (I), MP (DI)",178 cm,72 kg,24.0,Derecha,nan,---,nan,6.74,BRA,Muy buena+,Fisico
player_149,Alaves,DF (C),191 cm,79 kg,22.0,Derecha,nan,---,nan,6.90,ESP,Muy buena+,Fisico
player_150,Getafe,ME/MP (IC),175 cm,68 kg,25.0,Derecha,nan,---,nan,07.07,ESP,Muy buena+,Creativo
player_151,Cadiz,DL (C),186 cm,85 kg,27.0,Derecha,nan,---,nan,6.71,URU,Muy buena,Lider
player_152,Almeria,"MP (I), DL (C)",185 cm,74 kg,26.0,Derecha,nan,---,nan,6.71,COL,Muy buena,Fisico
player_153,Vigo,DF (C),185 cm,80 kg,29.0,Derecha,nan,---,nan,6.92,SWE,Muy buena,Lider
player_154,Vallecano,DF/CR (D),172 cm,63 kg,32.0,Derecha,nan,---,nan,6.76,ALB,Muy buena,Tecnico
player_155,Sevilla,ME/MP (C),182 cm,70 kg,21.0,Derecha,nan,---,nan,6.77,TUN,Muy buena,Fisico
player_156,Villarreal,"ME/MP (DI), DL (C)",184 cm,70 kg,36.0,Derecha,nan,---,nan,7.13,ESP,Muy buena,Tecnico
player_157,Vigo,DF (C),184 cm,80 kg,28.0,Solo derecha,nan,---,nan,6.80,GHA,Muy buena,Fisico
player_158,Las Palmas,"MP (DI), DL (C)",175 cm,69 kg,28.0,Izquierda,nan,---,nan,6.93,MAR,Muy buena,Creativo
player_159,Vigo,"DF (C), MC, ME (C)",185 cm,80 kg,28.0,Derecha,nan,---,nan,6.90,PER,Muy buena,Lider
player_160,Granada,DF (DC),184 cm,79 kg,27.0,Derecha,nan,---,nan,6.70,ESP,Muy buena,Inteligente
player_161,Villarreal,DF/CR/ME/MP (I),184 cm,73 kg,28.0,Izquierda,nan,---,nan,6.89,ESP,Muy buena,Fisico
player_162,Oviedo,"MC, ME (C), MP (DIC)",168 cm,65 kg,39.0,Derecha,nan,---,nan,6.77,ESP,Muy buena,Creativo
player_163,Sevilla,"DF (C), MC",191 cm,85 kg,22.0,Derecha,nan,---,nan,07.04,FRA,Muy buena,Fisico
player_164,Mallorca,"MC, ME (C)",183 cm,74 kg,23.0,Izquierda,nan,---,nan,6.90,POR,Muy buena,Inteligente
player_165,A. Bilbao,"MC, ME (C)",191 cm,84 kg,31.0,Izquierda,nan,---,nan,6.95,ESP,Muy buena,Inteligente
player_166,Valencia,"ME (DIC), MP (DI), DL (C)",184 cm,74 kg,28.0,Izquierda,nan,---,nan,6.80,CZE,Muy buena,Inteligente
player_167,Mallorca,"MC, ME (C)",180 cm,72 kg,30.0,Derecha,nan,---,nan,6.88,ESP,Muy buena,Inteligente
player_168,Cadiz,"ME/MP (DI), DL (C)",171 cm,72 kg,31.0,Derecha,nan,---,nan,6.90,VEN,Muy buena,Fisico
player_169,Real Hispalis,"MC, ME/MP (C)",184 cm,78 kg,22.0,Derecha,nan,---,nan,6.58,USA,Muy buena,Fisico
player_170,Valencia,"ME/MP (D), DL (C)",180 cm,81 kg,34.0,Derecha,nan,---,nan,6.73,JAM,Muy buena,Fisico
player_171,Sevilla,DF (C),185 cm,80 kg,28.0,Izquierda,nan,---,nan,6.84,BRA,Muy buena,Lider
player_172,Atletico Pamplona,"ME (C), MP (IC)",177 cm,70 kg,22.0,Derecha,nan,---,nan,6.84,ESP,Muy buena,Tecnico
player_173,Girona,"MC, ME (C)",173 cm,68 kg,26.0,Derecha,nan,---,nan,6.98,ESP,Muy buena,Inteligente
player_174,Barcelona,MP (DI),181 cm,62 kg,16.0,Solo izquierda,nan,---,nan,07.04,ESP,Muy buena,Creativo
player_175,Vigo,"ME (DC), MP (DIC)",173 cm,75 kg,26.0,Izquierda,nan,---,nan,07.02,ESP,Muy buena,Creativo
player_176,Villarreal,DF (C),189 cm,76 kg,24.0,Izquierda,nan,---,nan,6.79,ESP,Muy buena,Fisico
player_177,Leganes,"DF (DC), CR/ME (D)",189 cm,79 kg,36.0,Solo derecha,nan,---,nan,6.88,CMR,Muy buena,Lider
player_178,Las Palmas,DF (IC),181 cm,71 kg,22.0,Izquierda,nan,---,nan,6.88,ESP,Muy buena,Inteligente
player_179,Sevilla,POR,190 cm,81 kg,32.0,Izquierda,nan,---,nan,6.64,SRB,Muy buena,Distribuidor
player_180,Mallorca,"DF (DC), MC",186 cm,70 kg,28.0,Derecha,nan,---,nan,6.69,SVK,Muy buena,Fisico
player_181,A. Bilbao,"CR (I), ME (DI), MP (DIC)",175 cm,73 kg,28.0,Derecha,nan,---,nan,6.89,ESP,Muy buena,Tecnico
player_182,Real Hispalis,POR,184 cm,83 kg,41.0,Derecha,nan,---,nan,6.64,CHI,Muy buena,Distribuidor
player_183,Vigo,DL (C),184 cm,76 kg,24.0,Derecha,nan,---,nan,6.71,GRE,Muy buena,Fisico
player_184,Valencia,"MC, ME (C)",185 cm,73 kg,25.0,Derecha,nan,---,nan,07.09,ESP,Muy buena,Inteligente
player_185,Las Palmas,ME/MP (C),180 cm,70 kg,28.0,Derecha,nan,---,nan,07.08,ESP,Muy buena,Creativo
player_186,Valencia,"DF (DI), CR (D)",183 cm,77 kg,31.0,Derecha,nan,---,nan,6.85,GLP,Muy buena,Fisico
player_187,Valencia,DF (C),190 cm,90 kg,23.0,Izquierda,nan,---,nan,07.01,TUR,Muy buena,Fisico
player_188,Atletico Pamplona,DF (C),185 cm,75 kg,30.0,Derecha,nan,---,nan,6.94,ESP,Muy buena,Inteligente
player_189,Mallorca,"MP (DI), DL (C)",188 cm,90 kg,29.0,Derecha,nan,---,nan,6.65,CAN,Muy buena,Fisico
player_190,Getafe,"ME/MP (D), DL (C)",183 cm,70 kg,22.0,Ambas,nan,---,nan,6.90,ENG,Muy buena,Creativo
player_191,Real Hispalis,"DF (C), MC, ME (C)",184 cm,77 kg,27.0,Izquierda,nan,---,nan,6.83,ESP,Muy buena,Inteligente
player_192,Alaves,"ME (C), MP (DIC)",182 cm,72 kg,25.0,Ambas,nan,---,nan,6.93,ROU,Muy buena,Creativo
player_193,Getafe,POR,192 cm,85 kg,31.0,Derecha,nan,---,nan,6.79,ESP,Muy buena,Con autoridad
player_194,Real San Sebastian,"ME (C), MP (DIC)",183 cm,72 kg,21.0,Derecha,nan,---,nan,6.76,RUS,Muy buena,Inteligente
